,Player,Squad,Salary.2021,Salary 2022,Salary 2023,Salary 2024,Salary 2025,Salary 2026,Salary 2027,Salary 2028,Salary 2029,Salary 2030,Salary 2031
34,l.wafula,Fighting Cougars,24770000,25730000,25850000,25610000,25950000,25870000,25570000,25700000,25640000,25690000,25920000
35,m.hsieh,Fighting Cougars,17540000,18380000,18320000,18110000,18200000,18150000,18190000,18350000,18180000,18250000,18620000
36,z.marini,Fighting Cougars,22740000,23480000,23590000,23540000,23580000,23790000,23570000,23650000,24140000,22740000,22740000
37,p.robinson,Fighting Cougars,22460000,23450000,23330000,23440000,23220000,23530000,23460000,23190000,23300000,23250000,23290000
38,i.azulay,Fighting Cougars,21300000,21990000,22100000,22040000,22090000,22290000,22080000,22160000,22610000,21300000,21300000
39,h.narvaez,Fighting Cougars,18780000,19510000,19600000,19420000,19680000,19610000,19390000,19480000,19440000,19480000,19650000
40,r.matovu,Fighting Cougars,2620000,2690000,2740000,2740000,2720000,2730000,2710000,2750000,2740000,2700000,2720000
41,p.chew,Fighting Cougars,28480000,29550000,29480000,29530000,29800000,29530000,29630000,30230000,28480000,28480000,28480000
42,o.kia,Fighting Cougars,23910000,25030000,24960000,24830000,24950000,24720000,25050000,24970000,24680000,24810000,24750000
43,q.nabimanya,Fighting Cougars,10780000,11280000,11250000,11200000,11250000,11150000,11290000,11260000,11130000,11180000,11160000
44,i.ocen,Fighting Cougars,28360000,29670000,29400000,29500000,30100000,28360000,28360000,28360000,28360000,28360000,28360000
45,d.daniel,Great Galactic Gorgons,13630000,14240000,14070000,14140000,14110000,14130000,14260000,14130000,14180000,14470000,13630000
46,f.kembabazi,Great Galactic Gorgons,18790000,19520000,19610000,19430000,19690000,19630000,19400000,19490000,19450000,19490000,19660000
47,f.lieu,Great Galactic Gorgons,3260000,3410000,3390000,3350000,3410000,3400000,3390000,3400000,3370000,3420000,3400000
48,h.akugizibwe,Great Galactic Gorgons,18580000,19470000,19410000,19180000,19280000,19230000,19270000,19440000,19260000,19330000,19720000
49,i.akpan,Great Galactic Gorgons,20540000,20540000,20540000,20540000,20540000,20540000,20540000,20540000,20540000,20540000,20540000
50,t.awuah,Great Galactic Gorgons,17100000,17920000,17860000,17650000,17740000,17700000,17730000,17890000,17730000,17790000,18150000
51,t.barigye,Great Galactic Gorgons,15110000,15690000,15770000,15620000,15830000,15780000,15600000,15680000,15640000,15670000,15810000
52,u.ban,Great Galactic Gorgons,31340000,32230000,32800000,32720000,32550000,32710000,32400000,32840000,32730000,32360000,32510000
53,i.najjemba,Great Galactic Gorgons,24550000,25640000,25350000,25470000,25410000,25460000,25690000,25450000,25540000,26060000,24550000
54,x.nalukenge,Great Galactic Gorgons,25340000,26230000,26280000,26510000,26270000,26360000,26900000,25340000,25340000,25340000,25340000
55,m.ludwig,Great Galactic Gorgons,11910000,12460000,12350000,12390000,12640000,11910000,11910000,11910000,11910000,11910000,11910000
56,r.lambert,Great Galactic Gorgons,26200000,27210000,27340000,27090000,27450000,27360000,27050000,27180000,27120000,27170000,27410000
57,y.susanti,Great Galactic Gorgons,27640000,28850000,28580000,28960000,28870000,28540000,28680000,28610000,28660000,28920000,28650000
58,a.schmitt,Great Galactic Gorgons,26370000,27430000,27990000,26370000,26370000,26370000,26370000,26370000,26370000,26370000,26370000
59,u.rodrigues,Great Galactic Gorgons,34980000,36260000,36590000,36370000,35970000,36610000,36520000,36330000,36510000,36170000,36650000
60,w.swee,Great Galactic Gorgons,19550000,20100000,20460000,20410000,20310000,20400000,20210000,20480000,20420000,20180000,20280000
61,m.nkhata,Great Galactic Gorgons,24470000,25750000,25360000,25600000,25440000,25160000,25610000,25540000,25420000,25540000,25300000
62,g.elbaz,Great Galactic Gorgons,30260000,31580000,31290000,31700000,31610000,31240000,31390000,31320000,31380000,31660000,31370000
63,h.gomani,Great Galactic Gorgons,29870000,31250000,30970000,31070000,31700000,29870000,29870000,29870000,29870000,29870000,29870000
64,a.soong,Great Galactic Gorgons,25510000,26630000,26500000,26620000,26370000,26730000,26640000,26340000,26470000,26400000,26450000
65,a.tayebwa,Great Galactic Gorgons,10690000,11190000,11160000,11100000,11160000,11050000,11200000,11170000,11040000,11090000,11060000
66,d.kojima,Great Galactic Gorgons,31520000,32700000,32620000,32690000,32980000,32680000,32790000,33450000,31520000,31520000,31520000
67,a.aryemo,Great Galactic Gorgons,32610000,33670000,33830000,33750000,33820000,34120000,33810000,33920000,34610000,32610000,32610000
68,g.gustafsson,Great Galactic Gorgons,30720000,32190000,32090000,31720000,31870000,31790000,31860000,32140000,31850000,31960000,32610000
69,h.susanto,Great Galactic Gorgons,18810000,19640000,19540000,19630000,19450000,19710000,19650000,19420000,19520000,19470000,19510000
70,f.nakazibwe,Great Galactic Gorgons,20660000,21360000,21650000,21580000,21330000,21430000,21380000,21430000,21620000,21420000,21490000
71,z.okon,Green Fleet,23880000,24930000,24800000,24920000,24690000,25020000,24940000,24650000,24780000,24710000,24760000
72,g.nimusiima,Green Fleet,3220000,3370000,3360000,3320000,3340000,3330000,3340000,3370000,3340000,3350000,3420000
73,d.chen,Green Fleet,24280000,25360000,25070000,25190000,25130000,25180000,25410000,25170000,25260000,25770000,24280000
74,g.hernandez,Green Fleet,14680000,15320000,15250000,15320000,15180000,15380000,15330000,15160000,15230000,15190000,15220000
75,l.mugumya,Green Fleet,12990000,13560000,13490000,13560000,13430000,13610000,13570000,13410000,13480000,13440000,13470000
76,u.kaahwa,Green Fleet,7230000,7490000,7560000,7520000,7440000,7570000,7550000,7510000,7550000,7480000,7580000
77,z.agyei,Green Fleet,14770000,15360000,15190000,15460000,15420000,15340000,15410000,15270000,15470000,15430000,15250000
78,c.gheorghe,Green Fleet,17030000,17820000,17700000,17510000,17830000,17780000,17690000,17770000,17610000,17840000,17790000
79,l.obote,Green Fleet,32590000,34010000,33690000,34150000,34040000,33650000,33810000,33730000,33800000,34100000,33790000
80,i.abeja,Green Fleet,38440000,39850000,39990000,40800000,38440000,38440000,38440000,38440000,38440000,38440000,38440000
81,j.namatovu,Green Fleet,6920000,7280000,7170000,7240000,7190000,7120000,7240000,7220000,7190000,7220000,7150000
82,z.nabaweesi,Green Fleet,28400000,29710000,29520000,29210000,29730000,29650000,29500000,29640000,29360000,29760000,29660000
83,n.gheorghe,Green Fleet,27490000,28510000,28760000,28500000,28600000,29180000,27490000,27490000,27490000,27490000,27490000
84,l.amadu,Green Fleet,32270000,33760000,33550000,33190000,33780000,33690000,33520000,33680000,33360000,33810000,33700000
85,s.avraham,Green Fleet,27800000,29090000,28820000,28920000,29510000,27800000,27800000,27800000,27800000,27800000,27800000
86,g.mwebaze,Green Fleet,18080000,18760000,18710000,18750000,18920000,18740000,18810000,19190000,18080000,18080000,18080000
87,p.kabugo,Green Fleet,19620000,20380000,20480000,20290000,20560000,20490000,20260000,20360000,20310000,20350000,20530000
88,q.nabutono,Green Fleet,19920000,20810000,20570000,20670000,20620000,20660000,20840000,20650000,20720000,21140000,19920000
89,a.miura,Green Fleet,16090000,16690000,16840000,16680000,16740000,17080000,16090000,16090000,16090000,16090000,16090000
90,u.guerin,Green Fleet,4470000,4630000,4680000,4650000,4600000,4680000,4670000,4640000,4670000,4620000,4680000
91,g.hartmann,Green Fleet,27650000,28720000,28860000,28590000,28970000,28880000,28550000,28690000,28620000,28670000,28930000
92,a.haruna,Horrible Grizzlies,23430000,24220000,24550000,24470000,24190000,24310000,24250000,24300000,24520000,24290000,24370000
93,o.khainza,Horrible Grizzlies,11720000,12440000,11720000,11720000,11720000,11720000,11720000,11720000,11720000,11720000,11720000
94,d.martini,Horrible Grizzlies,31860000,33050000,32970000,33040000,33340000,33030000,33140000,33820000,31860000,31860000,31860000
95,f.kalule,Horrible Grizzlies,27830000,28910000,29040000,28770000,29160000,29070000,28730000,28870000,28800000,28860000,29120000
96,t.nouri,Horrible Grizzlies,19540000,20400000,20290000,20390000,20200000,20470000,20410000,20170000,20270000,20220000,20260000
97,j.wan,Horrible Grizzlies,20530000,21430000,21230000,21510000,21440000,21200000,21300000,21250000,21290000,21480000,21280000
98,z.makore,Horrible Grizzlies,24900000,25990000,25860000,25990000,25740000,26090000,26010000,25710000,25830000,25770000,25820000
99,n.nantege,Horrible Grizzlies,33180000,34490000,34120000,34730000,34640000,34460000,34630000,34300000,34760000,34660000,34260000
100,a.olobo,Horrible Grizzlies,30470000,31820000,31460000,31610000,31540000,31600000,31880000,31590000,31700000,32340000,30470000
101,d.kayira,Horrible Grizzlies,26810000,28060000,27990000,27850000,27980000,27720000,28090000,2.8e+07,27680000,27810000,27750000
102,e.wibowo,Horrible Grizzlies,15120000,15610000,15690000,15650000,15680000,15820000,15670000,15730000,16050000,15120000,15120000
103,r.wanyama,Horrible Grizzlies,11490000,11490000,11490000,11490000,11490000,11490000,11490000,11490000,11490000,11490000,11490000
104,j.nkrumah,Horrible Grizzlies,9830000,10160000,10300000,10270000,10150000,10200000,10170000,10190000,10290000,10190000,10230000
105,g.baey,Horrible Grizzlies,26330000,27590000,27500000,27180000,27320000,27250000,27310000,27550000,27300000,27390000,27950000
106,b.longoli,Horrible Storm,9600000,9960000,10050000,9950000,9990000,10190000,9600000,9600000,9600000,9600000,9600000
107,a.tay,Horrible Storm,28970000,30310000,30030000,30140000,30750000,28970000,28970000,28970000,28970000,28970000,28970000
108,d.yusof,Horrible Storm,21510000,22450000,22340000,22450000,22240000,22540000,22470000,22210000,22320000,22260000,22310000
109,b.stewart,Horrible Storm,19400000,20250000,20060000,20330000,20260000,20030000,20130000,20080000,20120000,20300000,20110000
110,h.steiner,Horrible Storm,14950000,15610000,15530000,15600000,15460000,15660000,15610000,15430000,15510000,15470000,15500000
111,y.aidoo,Horrible Storm,23230000,24020000,24340000,24260000,23980000,24100000,24040000,24090000,24310000,24080000,24160000
112,h.nsamba,Horrible Storm,24050000,24870000,25200000,25120000,24830000,24950000,24890000,24940000,25160000,24930000,25020000
113,e.estrada,Horrible Storm,23230000,24020000,24340000,24260000,23980000,24100000,24040000,24090000,24310000,24080000,24160000
114,a.popescu,Horrible Storm,32520000,33940000,33620000,34070000,33970000,33570000,33740000,33660000,33720000,34030000,33710000
115,x.yau,Horrible Storm,15100000,15800000,15700000,15530000,15810000,15760000,15680000,15760000,15610000,15820000,15770000
116,k.aliyu,Horrible Storm,22290000,23260000,23050000,23350000,23280000,23010000,23130000,23070000,23120000,23320000,23110000
117,k.muhumuza,Horrible Storm,22310000,23290000,23170000,23280000,23070000,23370000,23300000,23030000,23150000,23090000,23140000
118,n.bondarenko,Horrible Storm,30860000,32480000,31990000,32280000,32080000,31740000,32300000,32210000,32050000,32210000,31910000
119,s.tamale,Horrible Storm,26390000,27560000,27250000,27380000,27310000,27370000,27610000,27360000,27450000,28010000,26390000
120,k.makaza,Horrible Storm,11530000,11920000,12080000,12040000,11900000,11960000,11930000,11960000,12060000,11950000,11990000
121,r.akech,Horrible Storm,17110000,17930000,17870000,17660000,17750000,17710000,17740000,17900000,17740000,17800000,18160000
122,l.egger,Horrible Storm,13950000,14560000,14490000,14560000,14420000,14620000,14570000,14400000,14470000,14440000,14470000
123,g.baey,Horrible Storm,30190000,31630000,31530000,31170000,31320000,31250000,31310000,31590000,31300000,31400000,32040000
124,t.nkhoma,Horrible Storm,26430000,27420000,27350000,27410000,27660000,27400000,27490000,28050000,26430000,26430000,26430000
125,q.mbambu,Horrible Storm,27710000,28780000,28920000,28650000,29030000,28940000,28610000,28750000,28680000,28740000,28990000
126,y.nabulo,Horrible Storm,10500000,10920000,10800000,10990000,10960000,10910000,10960000,10860000,1.1e+07,10970000,10840000
127,z.chipeta,Mighty Jays,14950000,15430000,15510000,15470000,15500000,15640000,15500000,15550000,15870000,14950000,14950000
128,d.asaba,Mighty Jays,8490000,8770000,8810000,8790000,8800000,8880000,8800000,8830000,9010000,8490000,8490000
129,s.chided,Mighty Jays,14780000,15430000,15350000,15420000,15280000,15490000,15440000,15260000,15330000,15300000,15330000
130,s.kaggwa,Mighty Jays,17980000,18640000,18700000,19080000,17980000,17980000,17980000,17980000,17980000,17980000,17980000
131,e.ta,Mighty Jays,8670000,9080000,9060000,8950000,8990000,8970000,8990000,9070000,8990000,9020000,9200000
132,z.semakula,Mighty Jays,25460000,26320000,26680000,26590000,26290000,26410000,26350000,26400000,26640000,26390000,26480000
133,e.ramezani,Mighty Jays,13270000,13850000,13720000,13900000,13860000,13700000,13770000,13730000,13760000,13890000,13760000
134,v.ram,Mighty Jays,14380000,14870000,15070000,15020000,14850000,14920000,14880000,14910000,15050000,14910000,14960000
135,z.nakagawa,Mighty Jays,1.9e+07,19830000,19730000,19830000,19640000,19910000,19840000,19620000,19710000,19660000,19700000
136,a.akoth,Mighty Jays,2e+07,20890000,20650000,20750000,20700000,20740000,20930000,20730000,20800000,21230000,2e+07
137,g.siddiqui,Mighty Jays,28170000,29130000,29510000,29420000,29080000,29230000,29150000,29210000,29480000,29200000,29300000
138,u.nalumansi,Mighty Jays,26610000,27600000,27840000,27590000,27680000,28240000,26610000,26610000,26610000,26610000,26610000
139,f.heng,Mighty Jays,25220000,26170000,26100000,26150000,26390000,26150000,26230000,26770000,25220000,25220000,25220000
140,i.kakuru,Mighty Jays,35710000,37120000,36720000,37380000,37280000,37090000,37270000,36920000,37410000,37300000,36870000
141,c.ssentamu,Mighty Jays,26670000,27920000,27840000,27700000,27830000,27570000,27940000,27860000,27530000,27670000,27600000
142,i.nugraha,Mighty Jays,22990000,23640000,24060000,2.4e+07,23880000,23990000,23770000,24090000,24010000,23730000,23850000
143,u.chio,Mighty Jays,24940000,25860000,26100000,25860000,25940000,26470000,24940000,24940000,24940000,24940000,24940000
144,z.marini,Mighty Jays,24650000,25450000,25570000,25510000,25560000,25790000,25550000,25640000,26160000,24650000,24650000
145,x.adikini,Mighty Jays,18110000,18720000,18970000,18920000,18700000,18790000,18740000,18780000,18950000,18770000,18840000
146,v.kumwenda,Mighty Jays,36670000,37860000,38040000,37950000,38030000,38370000,38020000,38150000,38920000,36670000,36670000
147,j.rolland,Mighty Jays,7580000,7830000,7860000,7850000,7860000,7930000,7860000,7880000,8050000,7580000,7580000
148,m.kusiima,Mighty Jays,34240000,35760000,35350000,35520000,35440000,35510000,35830000,35500000,35620000,36340000,34240000
149,a.vang,Mighty Jays,15070000,15650000,15730000,15580000,15790000,15740000,15560000,15630000,15600000,15630000,15770000
150,y.ferrara,Mighty Jays,28900000,29720000,30250000,30170000,30020000,30160000,29880000,30280000,30180000,29840000,29980000
151,h.david,Mighty Jays,33160000,34710000,34620000,34440000,34610000,34280000,34740000,34630000,34230000,34400000,34320000
152,e.nakanjako,Mighty Jays,10750000,11050000,11250000,11220000,11170000,11220000,11110000,11260000,11230000,11100000,11150000
153,v.garcia,Old Mustangs,16030000,16630000,16590000,16620000,16770000,16620000,16670000,17010000,16030000,16030000,16030000
154,a.sihombing,Old Mustangs,23440000,24200000,24320000,24260000,24310000,24530000,24300000,24380000,24880000,23440000,23440000
155,e.ruzvidzo,Old Mustangs,19420000,20190000,19970000,20330000,20270000,20170000,20270000,20080000,20350000,20280000,20050000
156,i.kabagenyi,Old Mustangs,18110000,18810000,18900000,18720000,18970000,18920000,18700000,18790000,18740000,18780000,18950000
157,t.chebet,Old Mustangs,9420000,9780000,9830000,9740000,9870000,9840000,9730000,9770000,9750000,9770000,9860000
158,z.rojas,Old Mustangs,28960000,30310000,30230000,30080000,30220000,29940000,30340000,30250000,29900000,30050000,29970000
159,i.ssentongo,Old Mustangs,10370000,10660000,10850000,10830000,10770000,10820000,10720000,10860000,10830000,10710000,10760000
160,x.nazari,Old Mustangs,4160000,4340000,4300000,4360000,4340000,4290000,4320000,4310000,4310000,4350000,4310000
161,m.carpentier,Old Mustangs,25960000,27200000,27110000,26800000,26930000,26870000,26920000,27160000,26910000,2.7e+07,27550000
162,y.niemi,Old Mustangs,33480000,34560000,34730000,34650000,34720000,35030000,34710000,34830000,35540000,33480000,33480000
163,y.wood,Old Mustangs,29870000,30840000,30990000,30910000,30980000,31250000,30970000,31070000,31700000,29870000,29870000
164,f.njoku,Old Mustangs,28160000,29070000,29220000,29140000,29200000,29470000,29190000,29290000,29890000,28160000,28160000
165,w.kayange,Old Mustangs,23150000,23930000,24250000,24180000,23900000,24020000,23960000,24010000,24220000,2.4e+07,24080000
166,l.edwards,Old Mustangs,23610000,24740000,24660000,24380000,24490000,24440000,24480000,24700000,24480000,24560000,25060000
167,u.nakazibwe,Old Mustangs,29470000,30780000,30420000,30570000,30500000,30560000,30840000,30550000,30660000,31280000,29470000
168,f.walker,Old Mustangs,10160000,10530000,10570000,10780000,10160000,10160000,10160000,10160000,10160000,10160000,10160000
169,p.tetteh,Old Mustangs,22300000,23340000,23280000,23160000,23270000,23060000,23360000,23290000,23020000,23140000,23080000
170,v.mattila,Old Mustangs,27620000,28560000,28940000,28850000,28520000,28660000,28590000,28640000,28900000,28630000,28730000
171,q.johnsen,Old Mustangs,34130000,35480000,35100000,35720000,35630000,35450000,35620000,35290000,35760000,35650000,35240000
172,p.saputra,Old Mustangs,23070000,2.4e+07,24490000,23070000,23070000,23070000,23070000,23070000,23070000,23070000,23070000
173,a.logose,Old Mustangs,24420000,25250000,25590000,25510000,25210000,25340000,25270000,25320000,25550000,25320000,25400000
174,a.tumuhaise,Punctual Rustlers,14430000,15060000,14990000,15060000,14920000,15120000,15070000,14900000,14970000,14930000,14960000
175,h.farina,Punctual Rustlers,27230000,28280000,28420000,28150000,28530000,28440000,28110000,28250000,28180000,28240000,28490000
176,s.debnath,Punctual Rustlers,12330000,12880000,12730000,12790000,12760000,12790000,12900000,12780000,12830000,13090000,12330000
177,i.namugosa,Punctual Rustlers,12280000,12700000,12870000,12830000,12680000,12740000,12710000,12730000,12850000,12730000,12770000
178,g.tukwasibwe,Punctual Rustlers,17550000,18250000,18050000,18370000,18320000,18230000,18320000,18150000,18390000,18330000,18120000
179,a.berisha,Punctual Rustlers,16380000,17010000,17090000,16940000,17160000,17110000,16910000,16990000,16950000,16990000,17140000
180,t.kafuko,Punctual Rustlers,21060000,21840000,22040000,21830000,21910000,22350000,21060000,21060000,21060000,21060000,21060000
181,l.lechner,Punctual Rustlers,32310000,33560000,33720000,33410000,33850000,33750000,33360000,33520000,33440000,33510000,33810000
182,c.namutebi,Punctual Rustlers,39230000,40680000,41050000,40670000,40810000,41640000,39230000,39230000,39230000,39230000,39230000
183,j.lysenko,Punctual Rustlers,24740000,25440000,25900000,25830000,25700000,25820000,25580000,25920000,25840000,25540000,25670000
184,r.arai,Punctual Rustlers,25630000,26590000,26530000,26580000,26820000,26570000,26660000,27200000,25630000,25630000,25630000
185,h.turyatunga,Punctual Rustlers,30270000,31590000,31300000,31710000,31620000,31250000,31400000,31330000,31390000,31670000,31380000
186,t.zoabi,Punctual Rustlers,17930000,18640000,18440000,18770000,18720000,18620000,18710000,18540000,18790000,18730000,18510000
187,n.namwanje,Punctual Rustlers,31880000,33070000,32990000,33060000,33360000,33050000,33160000,33840000,31880000,31880000,31880000
188,h.ochan,Punctual Rustlers,27720000,28510000,29010000,28940000,28790000,28930000,28660000,29040000,28950000,28620000,28760000
189,m.nankwanga,Punctual Rustlers,21800000,22750000,22540000,22840000,22770000,22510000,22620000,22560000,22610000,22810000,22600000
190,b.kor,Punctual Rustlers,27560000,28520000,28580000,28840000,28570000,28670000,29250000,27560000,27560000,27560000,27560000
191,s.peretz,Punctual Rustlers,13610000,14210000,14140000,14200000,14070000,14260000,14220000,14050000,14120000,14090000,14110000
192,k.vandenberg,Punctual Rustlers,20930000,21860000,21610000,21710000,21660000,21710000,21900000,21700000,21770000,22210000,20930000
193,x.muhwezi,Punctual Rustlers,19300000,20160000,19930000,20020000,19970000,20010000,20190000,20010000,20080000,20480000,19300000
194,r.gentile,Punctual Rustlers,12550000,13020000,12990000,13010000,13130000,13010000,13050000,13320000,12550000,12550000,12550000
195,g.chong,Punctual Rustlers,24370000,25440000,25310000,25430000,25200000,25530000,25450000,25160000,25280000,25220000,25270000
196,d.pellegrino,Punctual Rustlers,1.6e+07,16560000,16590000,16740000,16590000,16640000,16980000,1.6e+07,1.6e+07,1.6e+07,1.6e+07
197,m.vasquez,Punctual Rustlers,21540000,22500000,22240000,22350000,22290000,22340000,22540000,22330000,22410000,22860000,21540000
198,i.mlambo,Punctual Rustlers,30080000,31050000,31210000,31130000,31190000,31470000,31180000,31290000,31930000,30080000,30080000
199,f.hove,Silver Heels,20680000,21400000,21450000,21640000,21440000,21510000,21950000,20680000,20680000,20680000,20680000
200,c.boyko,Silver Heels,9590000,9930000,9950000,10030000,9940000,9980000,10180000,9590000,9590000,9590000,9590000
201,b.masika,Silver Heels,8880000,9190000,9210000,9290000,9210000,9240000,9430000,8880000,8880000,8880000,8880000
202,b.weiss,Silver Heels,11480000,11940000,12180000,11480000,11480000,11480000,11480000,11480000,11480000,11480000,11480000
203,b.wright,Silver Heels,16180000,16750000,16780000,16930000,16770000,16830000,17170000,16180000,16180000,16180000,16180000
204,k.machava,Silver Heels,15200000,15760000,15900000,15760000,15810000,16130000,15200000,15200000,15200000,15200000,15200000
205,q.majawa,Silver Heels,21290000,22090000,22030000,22080000,22280000,22070000,22150000,22600000,21290000,21290000,21290000
206,z.kayendeke,Silver Heels,13180000,13550000,13800000,13760000,13690000,13760000,13630000,13810000,13770000,13610000,13670000
207,z.mutandwa,Silver Heels,23280000,24130000,24220000,24710000,23280000,23280000,23280000,23280000,23280000,23280000,23280000
208,m.purnomo,Silver Heels,26300000,27470000,27150000,27290000,27220000,27270000,27520000,27270000,27360000,27910000,26300000
209,d.morales,Silver Heels,13150000,13660000,13720000,13600000,13780000,13730000,13580000,13640000,13610000,13640000,13760000
210,w.markovi,Silver Heels,26070000,26910000,27050000,26980000,27040000,27280000,27030000,27120000,27670000,26070000,26070000
211,q.musimenta,Silver Heels,11470000,11890000,11930000,12170000,11470000,11470000,11470000,11470000,11470000,11470000,11470000
212,c.leroy,Silver Heels,3970000,4150000,4100000,4120000,4110000,4120000,4150000,4120000,4130000,4210000,3970000
213,j.agaba,Silver Heels,23400000,24300000,24420000,24190000,24520000,24440000,24160000,24280000,24220000,24270000,24480000
214,e.mutebi,Silver Heels,27490000,28710000,28380000,28520000,28450000,28510000,28760000,28500000,28600000,29180000,27490000
215,v.mahagna,Silver Heels,21360000,22350000,22140000,22220000,22670000,21360000,21360000,21360000,21360000,21360000,21360000
216,j.mukalazi,Silver Heels,26870000,28050000,27910000,28040000,27780000,28150000,28060000,27740000,27880000,27810000,27870000
217,a.nyasulu,Silver Heels,23500000,24380000,24320000,24370000,24590000,24360000,24450000,24940000,23500000,23500000,23500000
218,i.joseph,Silver Heels,9510000,9870000,9840000,9860000,9950000,9860000,9890000,10090000,9510000,9510000,9510000
219,a.bruno,Silver Heels,30890000,32050000,31970000,32030000,32320000,32020000,32130000,32790000,30890000,30890000,30890000
220,a.nakiranda,Solemn Cougars,10370000,10780000,10660000,10850000,10830000,10770000,10820000,10720000,10860000,10830000,10710000
221,q.sam,Solemn Cougars,14380000,14960000,15260000,14380000,14380000,14380000,14380000,14380000,14380000,14380000,14380000
222,s.kasamba,Solemn Cougars,27320000,28620000,28530000,28210000,28340000,28280000,28330000,28590000,28320000,28420000,2.9e+07
223,r.navarro,Solemn Cougars,19610000,20520000,20330000,20400000,20810000,19610000,19610000,19610000,19610000,19610000,19610000
