,Player,Age,FW,MF,DF,GK,Salary
57,t.awuah,25,0,0,1,0,8566501.739
58,m.ludwig,31,0,0,1,0,3607496.419
59,i.najjemba,26,0,0,1,0,904516.3844
60,x.nalukenge,29,0,0,1,0,1628605.998
61,s.perez,22,1,0,0,0,2373959.954
62,j.krajnc,27,1,0,0,0,4248958.82
63,g.elbaz,23,1,0,0,0,4920689.352
64,y.susanti,23,1,0,0,0,9598060.294
65,a.schmitt,33,1,0,0,0,2410700.837
66,h.gomani,31,1,0,0,0,2292626.343
67,b.mulyana,34,1,1,0,0,4543029.017
68,q.ayerango,24,1,1,0,0,4252586.353
69,k.smits,29,0,0,0,1,1115085.232
70,p.kabugo,22,0,0,0,1,5811764.045
71,d.kojima,28,0,1,0,0,743272.1968
72,a.aryemo,27,0,1,0,0,2261896.143
73,e.yeong,27,0,1,0,0,4734253.718
74,g.gustafsson,25,0,1,0,0,2258201.672
75,r.hamed,28,0,1,0,0,7090584.417
76,h.susanto,21,0,1,0,0,3860794.575
77,g.lukyamuzi,26,0,1,0,0,7457490.96
78,o.mugide,26,0,1,0,0,2505697.006
79,f.nakazibwe,24,0,1,1,0,8529507.403
80,z.okon,21,0,0,1,0,3809022.049
81,g.nimusiima,25,0,0,1,0,877976.9748
82,c.ahmad,29,0,0,1,0,9283799.699
83,c.muyama,24,0,0,1,0,5908575.714
84,g.hernandez,21,0,0,1,0,5092735.422
85,i.donati,27,0,0,1,0,870072.8127
86,l.mugumya,21,0,0,1,0,5069971.181
87,r.ishii,34,0,0,1,0,5485444.037
88,u.wright,26,0,0,1,0,5885073.289
89,z.agyei,18,0,0,1,0,1252496.594
90,q.sarfo,25,0,0,1,0,8335846.892
91,k.nalwanga,20,0,1,1,0,6527537.616
92,i.koomson,21,1,0,0,0,7506136.57
93,l.obote,23,1,0,0,0,5250327.295
94,t.ichikawa,21,1,0,0,0,1699537.048
95,z.nabaweesi,17,1,0,0,0,2900275.18
96,n.gheorghe,30,1,0,0,0,4010636.845
97,q.scott,19,1,0,1,0,2356583.511
98,g.mwebaze,28,0,0,0,1,3998993.02
99,j.rukundo,26,0,1,0,0,7566349.654
100,c.ji,24,0,1,0,0,2821331.93
101,q.nabutono,26,0,1,0,0,3990198.117
102,p.bauri,22,0,1,0,0,2595851.204
103,h.kamugisha,18,0,1,0,0,8019951.049
104,u.garcia,18,0,1,0,0,5364942.664
105,a.miura,30,0,1,0,0,1334379.734
106,s.avraham,31,1,1,0,0,7305832.305
107,e.taylor,26,1,1,0,0,2231770.305
108,y.torres,23,1,1,0,0,2150842.203
109,a.haruna,24,0,0,1,0,4690709.347
110,d.svensson,26,0,0,1,0,8603167.415
111,y.eyotaru,23,0,0,1,0,4657067.655
112,d.martini,28,0,0,1,0,6965362.844
113,s.namugere,29,0,0,1,0,4304306.59
114,t.nouri,21,0,0,1,0,1224294.364
115,u.ortiz,18,0,0,1,0,3805546.872
116,v.thompson,19,0,0,1,0,3595416.891
117,v.binali,24,0,0,1,0,520802.4892
118,s.mlakar,32,1,0,0,0,5764480.043
119,u.chio,30,1,0,0,0,7969072.637
120,m.abur,17,1,0,0,0,7010961.708
121,f.pellegrini,32,1,0,0,0,6907378.387
122,g.adriko,17,1,0,0,0,4708733.289
123,n.nantege,18,1,0,0,0,8705553.792
124,z.makore,21,1,0,0,0,1652449.13
125,d.kayira,20,1,0,0,0,5911903.381
126,x.nakanwagi,25,1,0,0,0,7693236.075
127,r.wanyama,37,0,0,0,1,2103316.687
128,j.nkrumah,24,0,0,0,1,6283215.531
129,m.matsumoto,28,0,1,0,0,2008923.061
130,c.nyesiga,25,0,1,0,0,4713684.051
131,y.diallo,18,0,1,0,0,4227772.069
132,g.baey,25,0,1,0,0,4452825.908
133,i.makavan,27,0,1,0,0,4789097.855
134,j.wan,23,1,1,0,0,3205732.376
135,o.nampeera,20,1,1,0,0,3591155.082
136,b.longoli,30,0,0,1,0,7384362.101
137,f.shkreli,24,0,0,1,0,3814437.165
138,a.tay,31,0,0,1,0,7502629.895
139,b.stewart,23,0,0,1,0,3801897.137
140,h.steiner,21,0,0,1,0,9059334.757
141,k.mirkovi,26,0,0,1,0,3180169.159
142,y.aidoo,24,0,0,1,0,6423160.468
143,c.nyaketcho,24,0,0,1,0,9179502.417
144,q.mbambu,22,1,0,0,0,492291.9091
145,k.muhumuza,21,1,0,0,0,2124991.284
146,m.adoch,26,1,0,0,0,3067836.717
147,h.nsamba,24,1,1,0,0,560750.5594
148,r.dijkstra,29,1,1,0,0,225624.2399
149,e.estrada,24,1,1,0,0,2835002.149
150,e.amponsah,28,1,1,0,0,5430739.749
151,k.namuwaya,23,1,1,0,0,5292287.374
152,c.quartey,18,1,1,0,0,5266306.281
153,j.turyasingura,36,0,0,0,1,9147622.35
154,k.lin,26,0,0,0,1,6557446.75
155,s.herrera,33,0,0,0,1,4437124.142
156,m.alzahrani,28,0,0,0,1,8241601.727
157,r.akech,25,0,1,0,0,4158537.783
158,l.egger,21,0,1,0,0,4318732.657
159,z.cher,24,0,1,0,0,3492761.006
160,p.shehu,29,0,1,0,0,9708564.967
161,t.nkhoma,28,0,1,0,0,3835252.758
162,h.shoko,26,1,1,0,0,2149502.499
163,c.awad,28,1,1,0,0,9210720.249
164,z.chipeta,27,0,0,1,0,2961213.43
165,d.asaba,27,0,0,1,0,2438723.426
166,d.wolf,31,0,0,1,0,2711405.297
167,s.kaggwa,32,0,0,1,0,5204123.549
168,c.nakitto,33,0,0,1,0,9121311.855
169,e.ta,25,0,0,1,0,8883230.711
170,z.semakula,24,0,0,1,0,9794882.237
171,q.aini,22,0,0,1,0,8813788.919
172,e.ramezani,23,0,0,1,0,4637237.177
173,v.ram,24,0,0,1,0,4150886.475
174,z.nakagawa,21,0,0,1,0,3435935.281
175,a.akoth,26,0,0,1,0,1274258.119
176,g.dijkstra,17,1,0,1,0,4834512.911
177,g.siddiqui,24,1,0,0,0,961984.492
178,u.nalumansi,30,1,0,0,0,4883671.994
179,f.heng,28,1,0,0,0,4212713.264
180,b.asiedu,30,1,0,0,0,191744.5339
181,i.kakuru,18,1,0,0,0,4147892.401
182,c.ssentamu,20,1,0,0,0,6855489.005
183,i.nugraha,19,1,0,0,0,5188654.693
184,v.kumwenda,27,0,0,0,1,929314.9023
185,s.tamale,26,0,0,0,1,8268927.095
186,s.tenywa,20,0,1,0,0,2228065.534
187,e.boadu,30,0,1,0,0,3789536.73
188,t.robert,23,0,1,0,0,9088816.471
189,a.vang,22,0,1,0,0,7164364.733
190,k.abalo,26,0,1,0,0,3028190.469
191,e.nakanjako,19,0,1,0,0,1344156.635
192,y.ferrara,19,1,1,0,0,1699816.497
193,c.carvalho,24,0,0,1,0,1705533.63
194,n.dekker,21,0,0,1,0,1416486.666
195,v.nalukwago,26,0,0,1,0,6421083.219
196,c.hasanovi,23,0,0,1,0,2043894.314
197,c.perkovi,32,0,0,1,0,2927724.589
198,d.lejeune,34,0,0,1,0,884027.3541
199,d.mwandira,22,0,0,1,0,3155579.286
200,f.arslan,28,0,0,1,0,7524105.837
201,n.medina,23,0,0,1,0,5734156.504
202,o.estrada,28,0,0,1,0,293299.9523
203,x.sartori,20,0,0,1,0,8385568.099
204,b.maturu,27,1,0,0,0,4400578.472
205,p.biira,21,1,1,0,0,3955752.557
206,w.rashid,21,1,1,0,0,7985124.713
207,i.mlambo,27,1,1,0,0,5461271.263
208,a.soong,21,0,0,0,1,6162324.953
209,f.malik,20,0,0,0,1,8887032.886
210,n.zhu,22,0,1,0,0,7974306.557
211,c.mawejje,22,0,1,0,0,7770543.067
212,a.henry,23,0,1,0,0,1253482.867
213,b.nakayiwa,32,0,1,0,0,3924879.148
214,f.afful,22,0,1,0,0,3157676.615
215,i.ghoe,29,0,1,0,0,7760446.25
216,x.ferraro,24,0,1,0,0,6829877.587
217,n.kaiser,29,0,1,1,0,9627275.008
218,t.cheung,22,1,1,0,0,3587805.876
219,d.masereka,25,1,1,0,0,6635955.136
220,v.garcia,28,0,0,1,0,7119582.336
221,a.sihombing,27,0,0,1,0,572102.7452
222,f.nassolo,18,0,0,1,0,445613.7937
223,q.achom,30,0,0,1,0,4976338.95
224,m.tumuramye,25,0,0,1,0,2670764.525
225,t.chebet,22,0,0,1,0,5369691.441
226,t.syed,16,0,0,1,0,1590573.238
227,z.rojas,20,0,0,1,0,1654715.435
228,y.niemi,27,1,0,0,0,865030.2449
229,y.wood,27,1,0,0,0,8075776.092
230,f.njoku,27,1,0,0,0,2521074.791
231,w.kayange,24,1,0,0,0,9195438.061
232,a.logose,24,1,1,0,0,5282242.762
233,q.nakityo,27,1,1,0,0,873152.632
234,u.nakazibwe,26,0,0,0,1,7401698.612
235,f.walker,32,0,0,0,1,9650272.353
236,v.waswa,28,0,1,0,0,9047756.253
237,v.mattila,24,0,1,0,0,5321180.661
238,m.carpentier,25,0,1,0,0,1707857.974
239,h.twongirwe,29,0,1,0,0,4457500.837
240,q.johnsen,18,0,1,0,0,7372786.075
241,p.saputra,33,0,1,1,0,3108360.722
242,i.ocen,31,1,1,0,0,6814187.753
243,l.edwards,25,1,1,0,0,923295.5718
244,n.kamusiime,26,0,0,1,0,8749851.132
245,b.hungwe,34,0,0,1,0,7366153.79
246,h.farina,22,0,0,1,0,6990651.141
247,s.debnath,26,0,0,1,0,9568709.021
248,w.nakiyingi,17,0,0,1,0,781746.0125
249,j.dahiru,27,0,0,1,0,8652988.468
250,t.kafuko,30,0,0,1,0,8104652.813
251,i.namugosa,24,0,0,1,0,8356395.111
252,m.villa,29,1,0,0,0,3078428.125
253,l.lechner,22,1,0,0,0,8633249.63
254,n.ono,22,1,0,0,0,5231803.901
255,j.lysenko,19,1,0,0,0,8272846.953
256,r.arai,28,1,0,0,0,6361758.481
257,x.neri,25,0,0,0,1,4879145.146
258,m.nankwanga,23,0,1,0,0,7934849.262
259,b.kor,29,0,1,0,0,4460163.406
260,t.nyanzi,29,0,1,0,0,661958.6138
261,x.muhwezi,26,0,1,0,0,3109192.935
262,d.pellegrino,29,0,1,0,0,8482984.527
263,g.chong,21,0,1,0,0,9102785.841
264,m.vasquez,26,1,1,0,0,6888525.674
265,c.namutebi,30,1,1,0,0,392411.3232
266,t.zoabi,18,1,1,0,0,6705526.492
267,h.turyatunga,23,1,1,0,0,537424.6739
268,d.iskandar,28,0,0,1,0,3777395.151
269,c.boyko,29,0,0,1,0,9567340.664
270,b.masika,29,0,0,1,0,1856167.175
271,b.weiss,33,0,0,1,0,4195244.965
272,b.wright,29,0,0,1,0,2001811.33
273,k.machava,30,0,0,1,0,8188914.189
274,z.kayendeke,19,0,0,1,0,5550873.681
275,z.mutandwa,32,0,0,1,0,9524413.298
276,y.bintiahmad,17,1,0,1,0,9694308.672
277,j.agaba,22,0,1,1,0,2626718.755
278,f.diaz,28,1,0,0,0,8624175.689
279,r.arai,28,1,0,0,0,7464915.89
280,w.markovi,27,1,1,0,0,7096550.251
281,m.willems,26,1,1,0,0,4974876.277
282,y.owino,32,0,0,0,1,7310406.641
283,q.musimenta,32,0,0,0,1,5496780.05
284,e.mutebi,26,0,1,0,0,7706009.896
285,j.mutonyi,25,0,1,0,0,4993147.889
286,v.mahagna,31,0,1,0,0,5093246.016
287,a.bruno,28,0,1,0,0,4036857.917
288,a.nyasulu,28,0,1,0,0,3659231.33
289,i.joseph,28,0,1,0,0,7704518.569
290,f.hove,29,0,1,1,0,3323496.838
291,m.purnomo,26,1,1,0,0,5010107.768
292,t.mguni,23,1,1,0,0,2234531.692
293,q.sam,33,0,0,1,0,3796453.651
294,s.kasamba,25,0,0,1,0,6906746.82
295,r.navarro,31,0,0,1,0,1521844.859
296,e.dangelo,29,0,0,1,0,8477653.042
297,f.kalule,22,0,0,1,0,4309807.17
298,f.omara,18,0,0,1,0,441012.2833
299,y.deng,21,0,0,1,0,9728544.489
300,d.tawiah,35,0,0,1,0,1689045.136
301,m.happy,23,0,0,1,0,8445866.933
302,h.acan,20,1,0,0,0,2023765.201
303,l.musoki,32,1,0,0,0,1097958.787
304,i.nyamande,22,1,1,0,0,6332692.867
305,s.zandamela,32,0,0,0,1,2570131.343
306,o.nabirye,27,0,1,0,0,1153283.968
307,d.kwagala,28,0,1,0,0,368021.9624
308,t.binmohamed,21,0,1,0,0,37672.34973
309,w.torok,22,0,1,0,0,4820010.64
310,c.kawooya,22,0,1,0,0,8343886.384
311,h.leong,22,0,1,0,0,2480074.67
312,x.boateng,25,0,1,0,0,390810.6243
313,c.mwesige,29,0,1,1,0,554673.5746
314,f.mtambo,26,1,1,0,0,5091223.267
315,v.mudondo,23,1,1,0,0,8084935.78
316,x.joly,21,1,1,0,0,3324313.14
317,r.kawuma,25,0,0,1,0,4496245.015
318,o.bintimohamad,27,0,0,1,0,7099150.346
319,n.binhashim,28,0,0,1,0,4626700.72
320,y.phe,30,0,0,1,0,4486776.657
321,v.abiria,25,0,0,1,0,669884.4882
322,j.sanyu,19,0,0,1,0,9913837.275
323,s.hamza,29,0,0,1,0,9923271.489
324,x.heikkila,25,0,0,1,0,7652962.825
325,i.amoah,26,0,0,1,0,8285956.163
326,f.kollar,29,0,0,1,0,7886031.295
327,v.lao,24,0,0,1,0,3067175.262
328,z.testa,23,0,1,1,0,455864.1428
329,k.najjuma,29,0,1,1,0,6676134.135
330,m.nabukwasi,27,0,1,1,0,8092739.35
331,r.dewit,22,1,0,0,0,9749600.416
332,d.athieno,30,1,0,0,0,9440575.618
333,r.wambi,28,1,0,0,0,9503843.16
334,x.bekher,27,1,1,0,0,3899341.161
335,x.chauhan,27,1,1,0,0,3945231.501
336,m.janssens,30,0,0,0,1,3988347.607
337,k.nandera,30,0,1,0,0,4123253.61
338,a.nassanga,27,0,1,0,0,1789673.053
339,c.kavis,24,0,1,0,0,2970921.816
340,m.ferrara,21,0,1,0,0,3737965.419
341,z.yosef,19,0,1,0,0,4388644.817
342,k.mutero,24,0,1,0,0,7579928.963
343,j.ptersons,25,1,1,0,0,1402471.91
344,h.mafabi,22,1,1,0,0,6185330.918
345,o.magi,26,0,0,1,0,3500746.993
346,m.tang,26,0,0,1,0,8592711.834
347,h.binibrahim,21,0,0,1,0,6268164.289
348,a.janssen,20,0,0,1,0,2603845.761
349,e.patra,19,0,0,1,0,1329468.426
350,f.fujihara,22,0,0,1,0,2008772.718
351,s.hamza,29,0,0,1,0,8549815.226
352,w.karlsson,30,0,0,1,0,4181049.589
353,x.nakibuuka,32,0,0,1,0,7035169.947
354,c.bai,23,0,0,1,0,6199590.646
355,d.nishimura,25,0,1,1,0,1851973.368
356,l.end,24,1,0,0,0,2962171.048
357,z.bintizakaria,26,1,0,0,0,3601361.125
358,l.kyalisiima,21,1,1,0,0,3682015.225
359,c.kadosh,27,1,1,0,0,2542186.918
360,c.guerrero,26,1,1,0,0,9410905.267
361,w.kong,27,0,0,0,1,1187446.706
362,w.nasiru,32,0,0,0,1,6751192.423
363,g.magnusson,22,0,1,0,0,6558947.133
364,h.cardoso,29,0,1,0,0,7506976.367
365,i.nayak,23,0,1,0,0,9148083.779
366,a.abbo,28,0,1,0,0,5729448.02
367,w.yahaya,20,0,1,1,0,6181828.099
368,x.agbaria,18,0,1,1,0,456497.4345
369,j.moller,17,0,1,1,0,9415221.321
370,d.namugerwa,27,1,1,0,0,7754805.532
371,h.ruiz,23,1,1,0,0,1247702.686
372,j.dubois,27,1,1,0,0,6859540.783
373,v.alvarez,23,1,1,0,0,9007893.477
374,u.vitale,26,0,0,1,0,3511585.533
375,p.ferri,21,0,0,1,0,5048640.719
376,a.nangobi,27,0,0,1,0,4784913.727
377,a.tumuhaise,21,0,0,1,0,3577152.422
378,k.yousefi,19,0,0,1,0,2700491.221
379,y.musah,25,0,0,1,0,7293750.427
380,q.donati,31,0,0,1,0,9986538.729
381,p.romero,26,0,1,1,0,7372929.813
382,j.amsalem,29,1,0,0,0,8773877.901
383,x.hasanovi,18,1,0,0,0,4562023.491
384,o.kantono,28,1,1,0,0,7856598.117
385,r.kovalenko,22,1,1,0,0,3618169.833
386,b.alvarez,21,1,1,0,0,1058883.426
387,e.nakyeyune,22,1,1,0,0,3315008.64
388,l.hofmann,17,1,1,0,0,9268188.51
389,l.ozturk,26,1,1,0,0,3715491.502
390,e.hussain,18,1,1,0,0,7302236.693
391,w.bruno,26,1,1,0,0,6757406.457
392,a.bianco,31,0,0,0,1,8528516.616
393,q.nakyeyune,30,0,0,0,1,4871890.847
394,w.akena,35,0,0,0,1,7244840.884
395,k.babi,26,0,1,0,0,2469740.39
396,l.babirye,26,0,1,0,0,3458485.161
397,m.naigaga,28,0,1,0,0,8741784.066
398,v.namayanja,24,0,1,0,0,2455615.592
399,b.chavez,27,0,1,0,0,602105.8297
400,u.nakafeero,20,0,1,0,0,3882442.212
401,e.ishida,30,0,1,0,0,4403177.597
402,m.desmet,33,0,1,1,0,359018.9057
403,i.waiswa,25,1,1,0,0,718027.5623
404,e.kuhn,20,0,0,1,0,1575919.16
405,j.jere,20,0,0,1,0,1546442.614
406,d.asaba,27,0,0,1,0,7521470.198
407,l.chiu,30,0,0,1,0,3877952.845
408,w.twinamatsiko,26,0,0,1,0,2813739.148
409,d.shahar,23,0,0,1,0,1678341.097
410,f.fujihara,22,0,0,1,0,1312047.192
411,j.ssempijja,25,0,0,1,0,2272456.053
412,p.byamukama,29,0,0,1,0,880649.8141
413,q.tiko,19,0,0,1,0,8333345.605
414,d.obeng,23,1,0,0,0,8018640.53
415,d.tukamuhebwa,20,1,0,0,0,7796922.238
416,t.acom,27,1,0,0,0,2910638.105
417,f.siddiqui,19,1,0,0,0,9108884.772
418,s.sarpong,32,1,0,0,0,2537416.485
419,a.mlenga,23,0,0,0,1,7446112.6
420,f.ribeiro,29,0,0,0,1,3622557.16
421,a.kiss,23,0,1,0,0,9723707.083
422,v.nakayima,27,0,1,0,0,3546423.045
423,a.lombardi,27,0,1,0,0,8933469.636
424,n.nyesiga,19,0,1,0,0,3622736.132
425,a.avako,24,0,1,1,0,1955990.436
426,g.abbas,21,0,1,1,0,2898007.599
427,x.nabaggala,25,1,1,0,0,6157818.742
428,r.jacobs,25,1,1,0,0,1396033.921
429,a.andama,19,0,0,1,0,2537467.732
430,y.nassuuna,23,0,0,1,0,2429603.981
431,j.kyarisiima,20,0,0,1,0,7456059.148
432,m.balaz,18,0,0,1,0,9613716.396
433,q.coppola,23,0,0,1,0,4076102.605
434,v.mhlanga,26,0,0,1,0,2020906.412
435,j.kawano,22,0,0,1,0,4414031.72
436,o.khainza,34,0,0,1,0,9104551.516
437,j.kondowe,27,0,0,1,0,8487106.604
438,g.tamm,17,0,1,1,0,863695.2866
439,d.mabhena,26,0,1,1,0,1267296.646
440,h.robert,20,1,0,0,0,4877840.468
441,b.zheng,26,1,0,0,0,1211867.486
442,i.abeja,32,1,0,0,0,4178129.854
443,y.mutema,26,1,0,0,0,9964707.25
444,i.binyusof,30,1,1,0,0,36127.40695
445,b.obonyo,31,1,1,0,0,5520551.623
446,r.ssembatya,27,1,1,0,0,7128435.481
447,n.kyohirwe,26,0,0,0,1,9637446.651
448,y.kyosiimire,25,0,0,0,1,1572648.894
449,x.driscoll,19,0,0,0,1,2887471.141
450,p.addae,32,0,0,0,1,8867692.343
451,d.muhammad,29,0,1,0,0,7122127.567
452,h.chirwa,17,0,1,0,0,3847866.083
453,p.xu,17,0,1,0,0,1496526.247
454,k.opio,25,0,1,0,0,103302.0775
455,e.sommer,25,0,1,0,0,6005464.547
456,i.marie,26,0,1,0,0,2826865.355
457,o.musonza,29,0,1,1,0,2981349.618
458,f.yunusa,25,0,1,1,0,9890619.66
459,z.ahmetovi,27,1,1,0,0,4004128.273
460,o.kuloba,24,0,0,1,0,1165502.327
461,a.nabuuma,21,0,0,1,0,2547428.659
462,l.mulyani,32,0,0,1,0,9424880.115
463,o.wagner,24,0,0,1,0,3256227.61
464,p.amaniyo,26,0,0,1,0,5887817.316
465,q.muduwa,32,0,0,1,0,8489228.527
466,s.bukirwa,22,0,0,1,0,8848238.864
467,a.palmieri,33,0,0,1,0,3698636.792
468,a.samanya,26,1,1,0,0,9952735.031
469,f.lakot,29,1,1,0,0,2950047.797
470,g.lombardo,21,1,1,0,0,8338999.376
471,g.munsaka,30,1,1,0,0,3352859.016
472,k.adong,26,1,1,0,0,6337990.576
473,y.low,22,1,1,0,0,8741267.988
474,e.ciobanu,25,1,1,0,0,202974.7086
475,f.kimera,22,0,0,0,1,2795517.083
476,h.jew,26,0,0,0,1,7507541.804
477,f.kabanda,20,0,1,0,0,7475450.276
478,h.lwanga,19,0,1,0,0,5664149.044
479,j.takali,21,0,1,0,0,7329649.377
480,z.mlilo,25,0,1,0,0,4787891.815
481,m.hassan,27,0,1,0,0,7061658.222
482,f.aziz,28,1,1,0,0,4111032.908
483,s.vidal,30,1,1,0,0,9246498.232
484,w.santoro,26,0,0,1,0,5803142.962
485,e.gamal,26,0,0,1,0,7890568.543
486,i.chandra,22,0,0,1,0,6415380.17
487,p.igwe,33,0,0,1,0,360807.4838
488,j.mushabe,28,0,0,1,0,6264566.339
489,k.abou,28,0,0,1,0,6083701.206
490,k.oloya,27,0,0,1,0,2753746.227
491,b.lai,30,0,0,1,0,3475392.181
492,l.okoye,23,0,0,1,0,9088433.726
493,f.ahebwa,19,0,0,1,0,5499919.299
494,k.mpirirwe,23,0,1,1,0,2637540.684
495,a.musonza,33,1,0,0,0,1993161.029
496,e.cortez,22,1,0,0,0,6550749.1
497,u.atugonza,20,1,0,0,0,3395864.907
498,f.salonen,21,1,0,1,0,7682333.884
499,b.ndlovu,20,1,1,0,0,9150925.27
500,y.horvath,26,1,1,0,0,7842927.769
501,v.bwambale,32,0,0,0,1,5935294.728
502,u.hansen,23,0,1,0,0,1335515.203
503,c.langa,19,0,1,0,0,2758616.124
504,l.kond,17,0,1,0,0,4152539.323
505,w.noguchi,25,0,1,0,0,1805965.564
506,m.muwanga,22,0,1,0,0,6495951.187
507,m.anderson,26,0,1,0,0,9793672.669
508,c.shaheen,19,1,1,0,0,4469600.493
509,t.karmakar,28,1,1,0,0,9720637.032
510,s.namanya,30,0,0,1,0,4826392.639
511,j.suissa,25,0,0,1,0,342974.6462
512,e.fujii,19,0,0,1,0,709030.4405
513,g.namanya,28,0,0,1,0,6455927.416
514,h.kaweesi,27,0,0,1,0,5862939.804
515,u.muller,22,0,0,1,0,3710532.202
516,x.bintiawang,29,0,0,1,0,9389529.304
517,o.tshuma,24,0,1,1,0,2978042.541
518,a.jensen,23,1,0,0,0,7873668.422
519,q.ssemwogerere,32,1,0,0,0,759975.5082
520,c.kwakye,27,1,0,0,0,116434.7839
521,b.ghorbani,25,1,0,0,0,928098.8771
522,h.bintiyusof,28,1,1,0,0,3432197.818
523,u.dewi,22,1,1,0,0,5413278.318
524,t.bukar,27,0,0,0,1,4518453.605
525,b.nalwanga,31,0,1,0,0,7843632.823
526,c.chiwaya,32,0,1,0,0,1511751.859
527,f.perrin,20,0,1,0,0,9961747.259
528,k.kaudha,21,0,1,0,0,931022.4583
529,m.jha,29,0,1,0,0,3944382.669
530,o.soleimani,21,0,1,0,0,4337700.096
531,t.orishaba,25,0,1,0,0,758845.2197
532,n.ajidiru,19,0,1,0,0,8647142.624
533,c.sari,20,1,1,0,0,5280638.92
534,x.odongo,25,1,1,0,0,4039382.877
535,c.namagembe,18,0,0,1,0,7513496.568
536,c.nassiri,27,0,0,1,0,6227340.424
537,m.wojcik,24,0,0,1,0,7950986.284
538,o.monday,24,0,0,1,0,3865187.021
539,t.mande,18,0,0,1,0,733799.3318
540,t.nansubuga,18,0,0,1,0,8187410.232
541,x.olah,21,0,0,1,0,1270956.227
542,h.parn,25,0,0,1,0,4275847.081
543,b.demir,21,0,0,1,0,6494713.95
544,e.bintiabdullah,26,0,0,1,0,6092398.203
545,a.zimmermann,27,0,0,1,0,7032512.348
546,o.dumitru,26,1,0,0,0,5746809.547
547,r.nanono,23,1,0,0,0,6628512.04
548,u.musekiwa,21,1,0,0,0,1746567.419
549,g.razak,28,0,0,0,1,5646049.207
550,t.kibuuka,31,0,0,0,1,8338272.671
551,e.loh,29,0,0,0,1,4649754.883
552,c.kimura,21,0,1,0,0,156497.7646
553,f.deleon,30,0,1,0,0,6845041.81
554,g.okeny,17,0,1,0,0,611367.7062
555,m.onyango,16,0,1,0,0,2259966.205
556,n.makombe,20,0,1,0,0,7585625.695
557,s.ssenyonga,18,0,1,0,0,5473239.008
558,c.ochen,31,1,1,0,0,6610274.617
559,m.chari,19,1,1,0,0,1909621.195
560,n.obua,19,1,1,0,0,8009154.231
561,o.tusabe,24,1,1,0,0,9807453.848
562,x.chevalier,22,1,1,0,0,5005036.988
563,y.kabiru,21,1,1,0,0,9212349.638
564,i.harawa,31,1,1,0,0,5029702.009
565,o.barone,31,0,0,1,0,5195936.242
566,g.sande,23,0,0,1,0,193291.2873
567,m.kamya,21,0,0,1,0,6085987.439
568,o.kembabazi,19,0,0,1,0,130870.5022
