,Player Name,Age,League,Squad,Country,Position,Annualized Salary
112,s.namugere,#N/A,A,Horrible Grizzlies,Nganion,DF,22230000
113,f.kalule,23,A,Horrible Grizzlies,People's Land of Maneau,DF,27830000
114,t.nouri,22,A,Horrible Grizzlies,People's Land of Maneau,DF,19540000
115,v.thompson,#N/A,A,Horrible Grizzlies,People's Land of Maneau,DF,31250000
116,v.binali,#N/A,A,Horrible Grizzlies,Sobianitedrucy,DF,24980000
117,s.mlakar,#N/A,A,Horrible Grizzlies,Dosqaly,FW,30800000
118,q.gunther,#N/A,A,Horrible Grizzlies,Esia,FW,29980000
119,j.wan,24,A,Horrible Grizzlies,People's Land of Maneau,FW,20530000
120,z.makore,22,A,Horrible Grizzlies,People's Land of Maneau,FW,24900000
121,n.nantege,19,A,Horrible Grizzlies,People's Land of Maneau,FWDF,33180000
122,a.olobo,27,A,Horrible Grizzlies,Biarizea,FWMF,30470000
123,d.kayira,21,A,Horrible Grizzlies,Slandsganiamayotteque,FWMF,26810000
124,e.wibowo,28,A,Horrible Grizzlies,Coastpa Barleslands,GK,15120000
125,r.wanyama,38,A,Horrible Grizzlies,Imaar Vircoand,GK,11490000
126,j.nkrumah,25,A,Horrible Grizzlies,Nganion,GK,9830000
127,m.matsumoto,#N/A,A,Horrible Grizzlies,Dosqaly,MF,30800000
128,c.nyesiga,#N/A,A,Horrible Grizzlies,Manlisgamncent,MF,22560000
129,y.diallo,#N/A,A,Horrible Grizzlies,Ngoque Blicri,MF,12230000
130,g.baey,26,A,Horrible Grizzlies,People's Land of Maneau,MF,26330000
131,i.makavan,#N/A,A,Horrible Grizzlies,Sobianitedrucy,MF,27700000
132,h.alobo,#N/A,A,Horrible Grizzlies,Esia,MFFW,27350000
133,o.nampeera,#N/A,A,Horrible Grizzlies,People's Land of Maneau,MFFW,30150000
134,b.longoli,31,A,Horrible Storm,Djipines,DF,9600000
135,a.tay,32,A,Horrible Storm,Frenchdo Stanser,DF,28970000
136,d.yusof,22,A,Horrible Storm,Nkasland Cronestan,DF,21510000
137,b.stewart,24,A,Horrible Storm,People's Land of Maneau,DF,19400000
138,h.steiner,22,A,Horrible Storm,People's Land of Maneau,DF,14950000
139,k.mirkovi,#N/A,A,Horrible Storm,People's Land of Maneau,DF,17400000
140,y.aidoo,25,A,Horrible Storm,People's Land of Maneau,DF,23230000
141,h.nsamba,25,A,Horrible Storm,Byasier Pujan,FW,24050000
142,e.estrada,25,A,Horrible Storm,Frenchdo Stanser,FW,23230000
143,a.popescu,24,A,Horrible Storm,People's Land of Maneau,FW,32520000
144,x.yau,18,A,Horrible Storm,People's Land of Maneau,FW,15100000
145,k.aliyu,24,A,Horrible Storm,Saintswacroa,FW,22290000
146,k.muhumuza,22,A,Horrible Storm,People's Land of Maneau,FWMF,22310000
147,k.namuwaya,#N/A,A,Horrible Storm,People's Land of Maneau,FWMF,25750000
148,n.bondarenko,16,A,Horrible Storm,People's Land of Maneau,FWMF,30860000
149,s.tamale,27,A,Horrible Storm,Imaar Vircoand,GK,26390000
150,k.makaza,25,A,Horrible Storm,Dosqaly,MF,11530000
151,r.akech,26,A,Horrible Storm,Eastern Covaki,MF,17110000
152,l.egger,22,A,Horrible Storm,Lefghau,MF,13950000
153,z.cher,#N/A,A,Horrible Storm,Ngoque Blicri,MF,29810000
154,g.baey,26,A,Horrible Storm,People's Land of Maneau,MF,30190000
155,t.nkhoma,29,A,Horrible Storm,Southslands,MF,26430000
156,q.mbambu,23,A,Horrible Storm,Lefghau,MFFW,27710000
157,y.nabulo,19,A,Horrible Storm,People's Land of Maneau,MFFW,10500000
158,z.chipeta,28,A,Mighty Jays,Esia,DF,14950000
159,d.asaba,28,A,Mighty Jays,Greri Landmoslands,DF,8490000
160,s.chided,22,A,Mighty Jays,Lefghau,DF,14780000
161,s.kaggwa,33,A,Mighty Jays,Lefghau,DF,17980000
162,e.ta,26,A,Mighty Jays,Nganion,DF,8670000
163,z.semakula,25,A,Mighty Jays,Nganion,DF,25460000
164,q.aini,#N/A,A,Mighty Jays,Ngoque Blicri,DF,16720000
165,e.ramezani,24,A,Mighty Jays,People's Land of Maneau,DF,13270000
166,v.ram,25,A,Mighty Jays,People's Land of Maneau,DF,14380000
167,z.nakagawa,22,A,Mighty Jays,People's Land of Maneau,DF,19000000
168,a.akoth,27,A,Mighty Jays,Unicorporated Tiagascar,DF,20000000
169,g.siddiqui,25,A,Mighty Jays,Central Diasongo,FW,28170000
170,u.nalumansi,31,A,Mighty Jays,Czechnor,FW,26610000
171,f.heng,29,A,Mighty Jays,Dosqaly,FW,25220000
172,i.kakuru,19,A,Mighty Jays,Lefghau,FW,35710000
173,c.ssentamu,21,A,Mighty Jays,People's Land of Maneau,FW,26670000
174,i.nugraha,20,A,Mighty Jays,People's Land of Maneau,FW,22990000
175,g.dijkstra,#N/A,A,Mighty Jays,People's Land of Maneau,FWDF,26510000
176,u.chio,31,A,Mighty Jays,Lefghau,FWMF,24940000
177,z.marini,28,A,Mighty Jays,Central Republic of Boekrainego,GK,24650000
178,x.adikini,25,A,Mighty Jays,Cuandbo,GK,18110000
179,v.kumwenda,28,A,Mighty Jays,Esia,GK,36670000
180,j.rolland,28,A,Mighty Jays,Frenchdo Stanser,MF,7580000
181,m.kusiima,27,A,Mighty Jays,Nancipenuaroe,MF,34240000
182,a.vang,23,A,Mighty Jays,Nganion,MF,15070000
183,y.ferrara,20,A,Mighty Jays,People's Land of Maneau,MF,28900000
184,h.david,21,A,Mighty Jays,Redohrainbri,MF,33160000
185,k.abalo,#N/A,A,Mighty Jays,Quewenia,MFDF,15940000
186,e.nakanjako,20,A,Mighty Jays,Rarita,MFFW,10750000
187,v.garcia,29,A,Old Mustangs,Byasier Pujan,DF,16030000
188,a.sihombing,28,A,Old Mustangs,Central Namemo Laand,DF,23440000
189,f.nassolo,#N/A,A,Old Mustangs,Djipines,DF,26640000
190,m.tumuramye,#N/A,A,Old Mustangs,Ngoque Blicri,DF,28620000
191,e.ruzvidzo,19,A,Old Mustangs,People's Land of Maneau,DF,19420000
192,i.kabagenyi,23,A,Old Mustangs,People's Land of Maneau,DF,18110000
193,t.chebet,23,A,Old Mustangs,People's Land of Maneau,DF,9420000
194,z.rojas,21,A,Old Mustangs,People's Land of Maneau,DF,28960000
195,i.ssentongo,20,A,Old Mustangs,Varijitri Isles,DF,10370000
196,x.nazari,24,A,Old Mustangs,Ingre,DFFW,4160000
197,m.carpentier,26,A,Old Mustangs,Lefghau,DFMF,25960000
198,y.niemi,28,A,Old Mustangs,Coastpa Barleslands,FW,33480000
199,y.wood,28,A,Old Mustangs,Frenchdo Stanser,FW,29870000
200,e.alowo,#N/A,A,Old Mustangs,Greri Landmoslands,FW,31060000
201,f.njoku,28,A,Old Mustangs,Lefghau,FW,28160000
202,w.kayange,25,A,Old Mustangs,Southern Ristan,FW,23150000
203,l.edwards,26,A,Old Mustangs,People's Land of Maneau,FWMF,23610000
204,u.nakazibwe,27,A,Old Mustangs,Lefghau,GK,29470000
205,f.walker,33,A,Old Mustangs,Nganion,GK,10160000
206,p.tetteh,21,A,Old Mustangs,Southslands,GK,22300000
207,v.waswa,#N/A,A,Old Mustangs,Byasier Pujan,MF,18870000
208,v.mattila,25,A,Old Mustangs,Iverde,MF,27620000
209,i.aidoo,#N/A,A,Old Mustangs,Nganion,MF,18570000
210,q.johnsen,19,A,Old Mustangs,People's Land of Maneau,MF,34130000
211,h.twongirwe,#N/A,A,Old Mustangs,People's Land of Maneau,MFDF,16190000
212,p.saputra,34,A,Old Mustangs,People's Land of Maneau,MFDF,23070000
213,a.logose,25,A,Old Mustangs,Lylimi,MFFW,24420000
214,q.nakityo,#N/A,A,Old Mustangs,Quewenia,MFFW,26040000
215,n.kamusiime,#N/A,A,Punctual Rustlers,Dosqaly,DF,25780000
216,a.tumuhaise,22,A,Punctual Rustlers,People's Land of Maneau,DF,14430000
217,h.farina,23,A,Punctual Rustlers,People's Land of Maneau,DF,27230000
218,s.debnath,27,A,Punctual Rustlers,People's Land of Maneau,DF,12330000
219,i.namugosa,25,A,Punctual Rustlers,Western Niasland,DF,12280000
220,g.tukwasibwe,19,A,Punctual Rustlers,Dosqaly,DFFW,17550000
221,a.berisha,23,A,Punctual Rustlers,People's Land of Maneau,DFFW,16380000
222,t.kafuko,31,A,Punctual Rustlers,Southslands,DFMF,21060000
223,l.lechner,23,A,Punctual Rustlers,Lefghau,FW,32310000
224,c.namutebi,31,A,Punctual Rustlers,People's Land of Maneau,FW,39230000
225,n.ono,#N/A,A,Punctual Rustlers,People's Land of Maneau,FW,27840000
226,j.lysenko,20,A,Punctual Rustlers,Sobianitedrucy,FW,24740000
227,r.arai,29,A,Punctual Rustlers,Varijitri Isles,FW,25630000
228,h.turyatunga,24,A,Punctual Rustlers,Republic of Denand Landsa,FWDF,30270000
229,t.zoabi,19,A,Punctual Rustlers,People's Land of Maneau,FWMF,17930000
230,n.namwanje,29,A,Punctual Rustlers,Western Niasland,FWMF,31880000
231,h.ochan,20,A,Punctual Rustlers,Greri Landmoslands,GK,27720000
232,x.neri,#N/A,A,Punctual Rustlers,People's Land of Maneau,GK,13340000
233,m.ngamita,#N/A,A,Punctual Rustlers,Xikong,GK,13320000
234,m.nankwanga,24,A,Punctual Rustlers,Central Diasongo,MF,21800000
235,b.kor,30,A,Punctual Rustlers,Cuandbo,MF,27560000
236,s.peretz,22,A,Punctual Rustlers,Djipines,MF,13610000
237,k.vandenberg,27,A,Punctual Rustlers,Dosqaly,MF,20930000
238,x.muhwezi,27,A,Punctual Rustlers,Greri Landmoslands,MF,19300000
239,r.gentile,29,A,Punctual Rustlers,Lefghau,MF,12550000
240,g.chong,22,A,Punctual Rustlers,People's Land of Maneau,MF,24370000
241,d.pellegrino,30,A,Punctual Rustlers,People's Land of Maneau,MFDF,16000000
242,m.vasquez,27,A,Punctual Rustlers,Lefghau,MFFW,21540000
243,i.mlambo,28,A,Punctual Rustlers,Redohrainbri,MFFW,30080000
244,d.iskandar,#N/A,A,Silver Heels,Byasier Pujan,DF,24870000
245,f.hove,30,A,Silver Heels,Coastpa Barleslands,DF,20680000
246,c.boyko,30,A,Silver Heels,Dosqaly,DF,9590000
247,b.masika,30,A,Silver Heels,People's Land of Maneau,DF,8880000
248,b.weiss,34,A,Silver Heels,People's Land of Maneau,DF,11480000
249,b.wright,30,A,Silver Heels,People's Land of Maneau,DF,16180000
250,k.machava,31,A,Silver Heels,People's Land of Maneau,DF,15200000
251,q.majawa,29,A,Silver Heels,People's Land of Maneau,DF,21290000
252,z.kayendeke,20,A,Silver Heels,People's Land of Maneau,DF,13180000
253,z.mutandwa,33,A,Silver Heels,People's Land of Maneau,DF,23280000
254,m.purnomo,27,A,Silver Heels,Central Diasongo,FW,26300000
255,d.morales,23,A,Silver Heels,Dosqaly,FW,13150000
256,f.diaz,#N/A,A,Silver Heels,Southern Ristan,FW,22880000
257,x.nakanwagi,#N/A,A,Silver Heels,Southern Ristan,FW,18630000
258,w.markovi,28,A,Silver Heels,Nancipenuaroe,FWMF,26070000
259,q.musimenta,33,A,Silver Heels,Nganion,GK,11470000
260,c.leroy,27,A,Silver Heels,People's Land of Maneau,GK,3970000
261,j.agaba,23,A,Silver Heels,Byasier Pujan,MF,23400000
262,e.mutebi,27,A,Silver Heels,Nancipenuaroe,MF,27490000
263,v.mahagna,32,A,Silver Heels,Ngoque Blicri,MF,21360000
264,j.mukalazi,22,A,Silver Heels,People's Land of Maneau,MF,26870000
265,a.nyasulu,29,A,Silver Heels,Rosvi,MF,23500000
266,i.joseph,29,A,Silver Heels,Southslands,MF,9510000
267,a.bruno,29,A,Silver Heels,People's Land of Maneau,MFFW,30890000
268,a.nakiranda,19,A,Solemn Cougars,Dosqaly,DF,10370000
269,q.sam,34,A,Solemn Cougars,Giumle Lizeibon,DF,14380000
270,s.kasamba,26,A,Solemn Cougars,Greri Landmoslands,DF,27320000
271,r.navarro,32,A,Solemn Cougars,Highhlaands,DF,19610000
272,t.nagujja,25,A,Solemn Cougars,Nancipenuaroe,DF,21540000
273,f.omara,19,A,Solemn Cougars,People's Land of Maneau,DF,21500000
274,y.deng,22,A,Solemn Cougars,People's Land of Maneau,DF,25330000
275,a.acheng,#N/A,A,Solemn Cougars,Southern Ristan,DF,25870000
276,d.tawiah,36,A,Solemn Cougars,Thaijagypt,DF,11620000
277,m.happy,#N/A,A,Solemn Cougars,Varijitri Isles,DF,21220000
278,c.mwesige,30,A,Solemn Cougars,People's Land of Maneau,DFFW,29350000
279,l.musoki,33,A,Solemn Cougars,People's Land of Maneau,FW,27430000
280,v.mudondo,24,A,Solemn Cougars,People's Land of Maneau,FW,32680000
281,h.mubaiwa,32,A,Solemn Cougars,Rarita,FW,1580000
282,i.nyamande,23,A,Solemn Cougars,Republic of Denand Landsa,FW,37280000
283,x.joly,22,A,Solemn Cougars,People's Land of Maneau,FWMF,38050000
284,s.zandamela,#N/A,A,Solemn Cougars,Mico,GK,17000000
285,r.schubert,20,A,Solemn Cougars,Buhegeor,MF,21980000
286,o.nabirye,28,A,Solemn Cougars,Coastpa Barleslands,MF,10920000
287,q.annan,18,A,Solemn Cougars,Greri Landmoslands,MF,17530000
288,t.binmohamed,22,A,Solemn Cougars,People's Land of Maneau,MF,15990000
289,h.leong,#N/A,A,Solemn Cougars,Southern Ristan,MF,29510000
290,c.kawooya,23,A,Solemn Cougars,Republic of Denand Landsa,MFDF,32300000
291,f.mtambo,27,A,Solemn Cougars,Nganion,MFFW,36830000
292,w.torok,23,A,Solemn Cougars,People's Land of Maneau,MFFW,31290000
293,x.boateng,#N/A,A,Solemn Cougars,Southern Ristan,MFFW,26170000
294,q.higenyi,#N/A,A,Solemn Cougars,Varijitri Isles,MFFW,20980000
295,o.bintimohamad,28,A,Somber Bombers,Djipines,DF,13730000
296,p.ferri,22,A,Somber Bombers,Highhlaands,DF,22930000
297,y.phe,31,A,Somber Bombers,Imaar Vircoand,DF,18870000
298,v.abiria,26,A,Somber Bombers,Nganion,DF,22160000
299,x.heikkila,26,A,Somber Bombers,People's Land of Maneau,DF,16010000
300,m.nabukwasi,#N/A,A,Somber Bombers,Quewenia,DF,15440000
301,i.amoah,27,A,Somber Bombers,Slandsganiamayotteque,DF,10970000
302,f.kollar,30,A,Somber Bombers,Southslands,DF,32440000
303,v.lao,#N/A,A,Somber Bombers,Xikong,DF,6550000
304,k.najjuma,30,A,Somber Bombers,Ngoque Blicri,DFMF,24690000
305,s.mbewe,25,A,Somber Bombers,People's Land of Maneau,DFMF,14050000
306,b.maturu,28,A,Somber Bombers,People's Land of Maneau,FW,22370000
307,d.athieno,31,A,Somber Bombers,People's Land of Maneau,FW,23810000
308,h.mafabi,23,A,Somber Bombers,Dosqaly,FWMF,20050000
309,r.dewit,23,A,Somber Bombers,Lefghau,FWMF,26680000
310,d.masereka,#N/A,A,Somber Bombers,Ngoque Blicri,FWMF,13010000
311,r.wambi,29,A,Somber Bombers,People's Land of Maneau,FWMF,29920000
312,m.janssens,#N/A,A,Somber Bombers,Ledian,GK,21840000
313,p.johansson,29,A,Somber Bombers,People's Land of Maneau,GK,23110000
314,n.kozowski,17,A,Somber Bombers,Ngoque Blicri,MF,7960000
315,a.nassanga,28,A,Somber Bombers,People's Land of Maneau,MF,22780000
316,m.ferrara,22,A,Somber Bombers,People's Land of Maneau,MF,16770000
317,y.ferrara,20,A,Somber Bombers,People's Land of Maneau,MF,34120000
318,z.yosef,20,A,Somber Bombers,People's Land of Maneau,MF,12040000
319,t.achan,28,A,Somber Bombers,Southslands,MF,23300000
320,c.kavis,25,A,Somber Bombers,People's Land of Maneau,MFDF,27790000
321,j.ptersons,26,A,Somber Bombers,Danan Seekeeling,MFFW,24490000
322,o.magi,27,A,Stacked Rocks,Central Diasongo,DF,26170000
323,c.magombo,#N/A,A,Stacked Rocks,Djipines,DF,6920000
324,m.tang,#N/A,A,Stacked Rocks,Djipines,DF,21800000
325,k.mpofu,23,A,Stacked Rocks,Nganion,DF,30790000
326,a.janssen,21,A,Stacked Rocks,People's Land of Maneau,DF,19030000
327,d.nishimura,26,A,Stacked Rocks,People's Land of Maneau,DF,20550000
328,e.koc,28,A,Stacked Rocks,Rarita,DF,14050000
329,w.karlsson,#N/A,A,Stacked Rocks,Southern Ristan,DF,8610000
330,c.bai,24,A,Stacked Rocks,Western Niasland,DF,14830000
331,q.ariko,#N/A,A,Stacked Rocks,Djipines,FW,34440000
332,c.kadosh,28,A,Stacked Rocks,Landli Blicporlip,FW,33020000
333,p.musiime,25,A,Stacked Rocks,Lefghau,FW,26930000
334,j.hakim,16,A,Stacked Rocks,People's Land of Maneau,FW,9770000
335,z.bintizakaria,#N/A,A,Stacked Rocks,People's Land of Maneau,FW,31400000
336,l.kyalisiima,22,A,Stacked Rocks,Byasier Pujan,FWMF,19220000
337,d.namugerwa,28,A,Stacked Rocks,Imaar Vircoand,FWMF,29860000
338,c.guerrero,27,A,Stacked Rocks,Lefghau,FWMF,33230000
339,w.nasiru,33,A,Stacked Rocks,Rarita,GK,22410000
340,g.magnusson,23,A,Stacked Rocks,Dosqaly,MF,23890000
341,h.cardoso,#N/A,A,Stacked Rocks,Dosqaly,MF,16120000
342,h.ruiz,24,A,Stacked Rocks,Imaar Vircoand,MF,25380000
343,a.kiss,#N/A,A,Stacked Rocks,Mico,MF,12340000
344,i.nayak,24,A,Stacked Rocks,People's Land of Maneau,MF,12860000
345,v.alvarez,24,A,Stacked Rocks,Rarita,MF,27580000
346,j.tse,18,A,Swift Musketeers,Dosqaly,DF,14990000
347,w.twinamatsiko,#N/A,A,Swift Musketeers,Mico,DF,11320000
348,k.ferrari,21,A,Swift Musketeers,Nancipenuaroe,DF,15610000
349,d.shahar,#N/A,A,Swift Musketeers,Nkasland Cronestan,DF,12060000
350,f.fujihara,23,A,Swift Musketeers,People's Land of Maneau,DF,20700000
351,j.ssempijja,26,A,Swift Musketeers,People's Land of Maneau,DF,15840000
352,p.byamukama,30,A,Swift Musketeers,People's Land of Maneau,DF,18330000
353,q.tiko,20,A,Swift Musketeers,People's Land of Maneau,DF,12270000
354,w.alves,19,A,Swift Musketeers,People's Land of Maneau,DF,12900000
355,e.kuhn,21,A,Swift Musketeers,Dosqaly,DFMF,24300000
356,d.obeng,#N/A,A,Swift Musketeers,Ngoque Blicri,FW,26810000
357,c.joly,21,A,Swift Musketeers,People's Land of Maneau,FW,18000000
358,t.acom,28,A,Swift Musketeers,People's Land of Maneau,FW,33590000
359,f.siddiqui,20,A,Swift Musketeers,Southslands,FW,26220000
360,s.sarpong,33,A,Swift Musketeers,Southslands,FW,26170000
361,d.tukamuhebwa,21,A,Swift Musketeers,People's Land of Maneau,FWMF,22990000
362,f.ribeiro,30,A,Swift Musketeers,People's Land of Maneau,GK,25830000
363,s.aslan,32,A,Swift Musketeers,People's Land of Maneau,GK,21840000
364,f.kabanda,21,A,Swift Musketeers,Dosqaly,MF,19880000
365,v.nakayima,28,A,Swift Musketeers,Nganion,MF,17210000
366,a.lombardi,#N/A,A,Swift Musketeers,Ngoque Blicri,MF,38940000
367,a.avako,25,A,Swift Musketeers,People's Land of Maneau,MF,32070000
