,Player,Squad,Salary0,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9
17,i.kamukama,Fanatical Outlaws,34090000,35605528.83,35194663.06,35367817.8,35281882.26,35352426.57,35670389.83,35341149.87,35461315.83,36182513.16,34090000
18,w.lew,Fanatical Outlaws,23090000,24097513.61,23872832.39,24191979.99,24116505.16,23838215.61,23955497.59,23897291.33,23945072.74,24160437.11,23937434.75
19,m.namukwaya,Fanatical Outlaws,27750000,29036471.63,28768463.16,28866280.85,29453351.14,27750000,27750000,27750000,27750000,27750000,27750000
20,h.tourgeman,Fanatical Outlaws,30700000,32064820.63,31694812.44,31850748.21,31773358.33,31836887.53,32123231.68,31826732.21,31934948.55,32584428.11,30700000
21,r.petrenko,Fighting Cougars,18590000,19220266.53,19477215.59,19416450.02,19192396.2,19286821.15,19239958.68,19278427.98,19451820.09,19272278.56,19337807.6
22,d.ikeda,Fighting Cougars,17210000,17767678.24,17855093.7,17811709.99,17847323.59,18007844.21,17841630.66,17902295.26,18266384.62,17210000,17210000
23,i.ludwig,Fighting Cougars,27450000,28339498.42,28478926.33,28409729.19,28466532.98,28722563.83,28457452.74,28554212.95,29134936.53,27450000,27450000
24,k.toth,Fighting Cougars,26350000,27243357.88,27607564.87,27521433.99,27203853.67,27337694.31,27271270.1,27325797.6,27571568.56,27317081.23,27409963.98
25,u.ortiz,Fighting Cougars,15200000,15802110.59,15631231.87,15909735,15867211.65,15787248.64,15863239.79,15715333.58,15925426.41,15875741.81,15692545.57
26,g.kohler,Fighting Cougars,23440000,24558683.89,24482065,24199557.12,24318616.87,24259528.31,24308033.99,24526662.88,24300280.23,24382905.34,24878794.62
27,l.wafula,Fighting Cougars,24770000,25726983.48,25850819.06,25609790.31,25952158.7,25871192.41,25572654.86,25698470.13,25636028.85,25687286.78,25918320.8
28,r.bintihassan,Fighting Cougars,18910000,19446486.5,19792966.37,19740063.96,19640583.67,19735122.67,19551115.66,19812487.73,19750676.16,19522765.58,19618815.92
29,p.chew,Fighting Cougars,28480000,29547534.49,29475740.89,29534676.12,29800313.95,29525255.16,29625646.08,30228160.02,28480000,28480000,28480000
30,m.hsieh,Fighting Cougars,17540000,18377103.9,18319770.48,18108371.67,18197463.31,18153247.72,18189544.21,18353142.79,18183742.12,18245569.95,18616640.68
31,f.cho,Fighting Cougars,32370000,33467457.1,33914871.91,33809063.31,33418927.64,33583345.91,33501746.22,33568731.25,33870651.77,33558023.51,33672126.53
32,z.marini,Fighting Cougars,22740000,23476874.1,23592378.31,23535054.34,23582111.48,23794211.35,23574589.27,23654746.9,24135827.2,22740000,22740000
33,i.azulay,Fighting Cougars,21300000,21990211.89,22098401.85,22044707.9,22088785.16,22287453.9,22081739.29,22156820.98,22607437.09,21300000,21300000
34,h.narvaez,Fighting Cougars,18780000,19505561.15,19599450.22,19416708.2,19676283.43,19614896.79,19388553.02,19483943.04,19436601.61,19475464.1,19650628.37
35,o.kia,Fighting Cougars,23910000,25026431.83,24959541.48,24833757.57,24953293.65,24720633.28,25051114.84,24972959.65,24684787.15,24806234.19,24745960.83
36,q.nabimanya,Fighting Cougars,10780000,11283351.53,11253193.52,11196482.92,11250376.64,11145480,11294480.05,11259243.2,11129318.5,11184073.8,11156899.11
37,d.daniel,Great Galactic Gorgons,13630000,14235944.79,14071670.8,14140902.22,14106543.13,14134748.44,14261877.78,14130239.74,14178284.97,14466636.97,13630000
38,h.akugizibwe,Great Galactic Gorgons,18580000,19466738.34,19406005.45,19182072.15,19276446.31,19229609.05,19268057.66,19441356.5,19261911.55,19327405.34,19720477.99
39,i.akpan,Great Galactic Gorgons,20540000,20540000,20540000,20540000,20540000,20540000,20540000,20540000,20540000,20540000,20540000
40,t.awuah,Great Galactic Gorgons,17100000,17916104.72,17860209.54,17654113.77,17740970.5,17697864.09,17733250.06,17892744.68,17727593.51,17787870.36,18149632.59
41,m.ludwig,Great Galactic Gorgons,11910000,12462139.72,12347113.38,12389095.67,12641059.89,11910000,11910000,11910000,11910000,11910000,11910000
42,i.najjemba,Great Galactic Gorgons,24550000,25641411.94,25345525.91,25470223.73,25408337.03,25459139.7,25688121.75,25451018.76,25537556.57,26056928.66,24550000
43,x.nalukenge,Great Galactic Gorgons,25340000,26225957.66,26278395.11,26514745.62,26270012.84,26359335.38,26895420.46,25340000,25340000,25340000,25340000
44,g.elbaz,Great Galactic Gorgons,30260000,31580370.8,31285920.67,31704171.27,31605259.68,31240554.54,31394255.4,31317974.69,31380593.37,31662833.57,31370583.61
45,y.susanti,Great Galactic Gorgons,27640000,28846049.21,28577093.43,28959130.66,28868783.13,28535655.24,28676048.22,28606372.12,28663569.1,28921372.1,28654426.01
46,a.schmitt,Great Galactic Gorgons,26370000,27430768.51,27988643.95,26370000,26370000,26370000,26370000,26370000,26370000,26370000,26370000
47,h.gomani,Great Galactic Gorgons,29870000,31254753.43,30966270.07,31071560.69,31703481.03,29870000,29870000,29870000,29870000,29870000,29870000
48,d.kojima,Great Galactic Gorgons,31520000,32701484.81,32622027.83,32687253.9,32981246.33,32676827.34,32787934.14,33454761.36,31520000,31520000,31520000
49,a.aryemo,Great Galactic Gorgons,32610000,33666704.68,33832341.99,33750137.3,33817618.97,34121778.01,33806831.84,33921780.85,34611667.77,32610000,32610000
50,g.gustafsson,Great Galactic Gorgons,30720000,32186124.96,32085709.76,31715460.53,31871497.88,31794057.58,31857628.17,32144158.86,31847466.24,31955753.07,32605655.75
51,h.susanto,Great Galactic Gorgons,18810000,19635674.41,19536720.19,19630759.25,19447725.31,19707715.19,19646230.49,19419525.15,19515067.55,19467650.49,19506575.06
52,f.nakazibwe,Great Galactic Gorgons,20660000,21360446.83,21646007.22,21578475.38,21329473.13,21434412.31,21382331.7,21425084.57,21617783.92,21418250.41,21491076.12
53,z.okon,Green Fleet,23880000,24928224.61,24802598.52,24921984.62,24689616.18,25019683.08,24941625.95,24653815.02,24775109.68,24714911.95,24764328.15
54,g.nimusiima,Green Fleet,3220000,3373675.86,3363150.57,3324341.89,3340697.37,3332580.25,3339243.58,3369277.07,3338178.43,3349528.81,3417650.11
55,c.muyama,Green Fleet,19050000,19695862.15,19959169.29,19896900.1,19667302.18,19764063.63,19716041.57,19755462.78,19933145.39,19749161.19,19816311.72
56,g.hernandez,Green Fleet,14680000,15324385.98,15247158.56,15320550.01,15177703.75,15380609.19,15332624.33,15155695.33,15230260.06,15193254.08,15223632.21
57,l.mugumya,Green Fleet,12990000,13560202.58,13491865.78,13556808.22,13430406.79,13609953.23,13567492.51,13410932.04,13476912.68,13444166.93,13471047.85
58,u.wright,Green Fleet,2.2e+07,22978047.36,22712894.91,22824640.41,22769181.86,22814707.67,23019905.44,22807430.25,22884979.41,23350404.51,2.2e+07
59,z.agyei,Green Fleet,14770000,15355077.2,15189032.55,15459656.97,15418336.58,15340635.69,15414477.09,15270755.06,15474904.48,15426625.43,15248611.72
60,q.sarfo,Green Fleet,3260000,3415584.88,3404928.84,3365638.06,3382196.72,3373978.77,3380724.86,3411131.44,3379646.48,3391137.86,3460105.39
61,i.koomson,Green Fleet,21140000,22067950.93,21956739.23,22062426.92,21856720.52,22148915.42,22079814.6,21825027.2,21932404.47,21879113.85,21922860.01
62,l.obote,Green Fleet,32590000,34012038.48,33694915.88,34145371.5,34038843.79,33646056.59,33811592.32,33729438.04,33796878.32,34100850.83,33786097.81
63,t.ichikawa,Green Fleet,31170000,32538222.83,32374246.06,32530077.92,32226772.87,32657601.4,32555715.28,32180042.47,32338365.53,32259790.85,32324292.65
64,z.nabaweesi,Green Fleet,28400000,29710210.2,29524996.11,29205722.71,29726083.81,29646632.29,29497227.72,29639211.19,29362860.11,29755401.98,29662570.22
65,n.gheorghe,Green Fleet,27490000,28508014.27,28764418.2,28498920.8,28595822,29177391.81,27490000,27490000,27490000,27490000,27490000
66,g.mwebaze,Green Fleet,18080000,18757704.48,18712127.64,18749541.58,18918176.83,18743560.86,18807292.17,19189786.98,18080000,18080000,18080000
67,j.rukundo,Green Fleet,31430000,32827274.02,32448467.59,32608111.28,32528881.18,32593921.01,32887073.99,32583524.22,32694313.77,33359236.98,31430000
68,c.ji,Green Fleet,31790000,32867793.06,33307191.17,33203278.43,32820133.14,32981605.39,32901467.79,32967252.59,33263763.36,32956736.71,33068795.25
69,q.nabutono,Green Fleet,19920000,20805577.42,20565493.93,20666674.41,20616459.22,20657680.77,20843478.01,20651091.39,20721308.63,21142729.9,19920000
70,p.bauri,Green Fleet,35260000,36622262.31,36798541.79,36455438.29,36942798.38,36827543.17,36402576.11,36581673.68,36492788.75,36565754.21,36894630.26
71,a.miura,Green Fleet,16090000,16685847.57,16835921.75,16680525.12,16737241.76,17077636.75,16090000,16090000,16090000,16090000,16090000
72,s.avraham,Green Fleet,27800000,29088789.6,28820298.23,28918292.17,29506420.24,27800000,27800000,27800000,27800000,27800000,27800000
73,a.haruna,Horrible Grizzlies,23430000,24224359.59,24548206.64,24471620.43,24189233.08,24308242.04,24249178.69,24297663.67,24516199.29,24289913.22,24372503.08
74,d.svensson,Horrible Grizzlies,8810000,9201663.51,9095482.01,9140231,9118022.37,9136253.39,9218425.77,9133339.11,9164394.03,9350775.62,8810000
75,y.eyotaru,Horrible Grizzlies,15490000,16165893.71,16015165.6,16229266.79,16178634.25,15991942.82,16070621.82,16031573.96,16063628.27,16208106.15,16058504.3
76,d.martini,Horrible Grizzlies,31860000,33054229.25,32973915.19,33039844.84,33337008.51,33029305.81,33141611.1,33815631.25,31860000,31860000,31860000
77,s.namugere,Horrible Grizzlies,22230000,23007223.31,23053225.07,23260568.08,23045871.57,23124231.47,23594522.37,22230000,22230000,22230000,22230000
78,t.nouri,Horrible Grizzlies,19540000,20397718.13,20294923.58,20392612.21,20202474.88,20472554.75,20408683.88,20173180.3,20272430.62,20223173.35,20263608.54
79,v.thompson,Horrible Grizzlies,31250000,32136578.69,32709159.12,32621734.47,32457336.84,32613568.66,32309485.16,32741419.44,32639271.81,32262634.81,32421364.22
80,v.binali,Horrible Grizzlies,24980000,25826910.05,26172181.04,26090528.32,25789459.76,25916341.7,25853371.04,25905063.53,26138056.26,25896800.35,25984853.9
81,s.mlakar,Horrible Grizzlies,30800000,31930402.35,32038971.18,32690566.31,30800000,30800000,30800000,30800000,30800000,30800000,30800000
82,n.nantege,Horrible Grizzlies,33180000,34494344.04,34121333.79,34729276.79,34636452.79,34461901.97,34627782.66,34304918.96,34763529.5,34655073.24,34255175.14
83,z.makore,Horrible Grizzlies,24900000,25992998.02,25862006,25986491.51,25744197.77,26088363.01,26006971.78,25706867.42,25833343.01,25770574.02,25822100.96
84,d.kayira,Horrible Grizzlies,26810000,28061841.8,27986838.44,27845798.42,27979832.82,27718953.51,28089518.56,28001884.07,27678759.66,27814936.79,27747352.99
85,r.wanyama,Horrible Grizzlies,11490000,11490000,11490000,11490000,11490000,11490000,11490000,11490000,11490000,11490000,11490000
86,j.nkrumah,Horrible Grizzlies,9830000,10163271.65,10299140.9,10267009.34,10148534.41,10198464.33,10173684.44,10194026.2,10285712.29,10190774.52,10225424.89
87,m.matsumoto,Horrible Grizzlies,30800000,31954496.57,31876854.61,31940590.74,32227867.61,31930402.35,32038971.18,32690566.31,30800000,30800000,30800000
88,c.nyesiga,Horrible Grizzlies,22560000,23636685.52,23562943.11,23291041.32,23405631.26,23348761.04,23395445.69,23605866.67,23387983.02,23467506.16,23944778.44
89,y.diallo,Horrible Grizzlies,12230000,12714461.35,12576971.44,12801056.52,12766842,12702503.35,12763646.23,12644640.11,12813681.91,12773705.42,12626304.76
90,g.baey,Horrible Grizzlies,26330000,27586610.36,27500544.86,27183205.59,27316944.64,27250570.84,27305056.96,27550641.37,27296347.2,27389159.45,27946188.67
91,i.makavan,Horrible Grizzlies,27700000,28597599.5,28738297.24,28668469.89,28725791.03,28984153.66,28716628.09,28814269.53,29400282.04,27700000,27700000
92,j.wan,Horrible Grizzlies,20530000,21425810.06,21226039.37,21509802.91,21442696.01,21195260.57,21299539.44,21247786.53,21290270.39,21481757.21,21283479.23
93,o.nampeera,Horrible Grizzlies,30150000,31557796.72,31473449.42,31314838.59,31465571.04,31172191.28,31588921.47,31490369.44,31126990.07,31280132.2,31204128.78
94,b.longoli,Horrible Storm,9600000,9955508.8,10045049.64,9952333.2,9986172.84,10189267.42,9600000,9600000,9600000,9600000,9600000
95,a.tay,Horrible Storm,28970000,30313030.02,30033238.83,30135356.98,30748237.21,28970000,28970000,28970000,28970000,28970000,28970000
96,b.stewart,Horrible Storm,19400000,20246503.42,20057728.38,20325873.19,20262459.94,20028643.69,20127182.91,20078278.55,20118424.04,20299371.16,20112006.68
97,h.steiner,Horrible Storm,14950000,15606237.77,15527589.95,15602331.25,15456857.7,15663495.06,15614627.64,15434444.49,15510380.64,15472694.04,15503630.9
98,k.mirkovi,Horrible Storm,17400000,18173546.55,17963835.06,18052215.6,18008352.93,18044359.71,18206652.48,18038603.92,18099938.26,18468047.2,17400000
99,y.aidoo,Horrible Storm,23230000,24017578.89,24338661.55,24262729.09,23982752.21,24100745.31,24042186.12,24090257.24,24306927.42,24082572.94,24164457.81
100,q.mbambu,Horrible Storm,27710000,28780569.73,28919103.6,28649466.68,29032471.44,28941895.1,28607923.54,28748672.08,28678819.52,28736161.35,28994617.26
101,k.muhumuza,Horrible Storm,22310000,23289308.67,23171941.92,23283478.94,23066387.64,23374754.16,23301828.93,23032940.25,23146260.34,23090020.34,23136187.65
102,h.nsamba,Horrible Storm,24050000,24865379.78,25197796.4,25119183.59,24829323.75,24951481.9,24890855.63,24940623.62,25164942.08,24932668.07,25017443.4
103,e.estrada,Horrible Storm,23230000,24017578.89,24338661.55,24262729.09,23982752.21,24100745.31,24042186.12,24090257.24,24306927.42,24082572.94,24164457.81
104,k.namuwaya,Horrible Storm,25750000,26873580.57,26623015.77,26978929.62,26894759.97,26584411.09,26715204.12,26650292.41,26703578.3,26943752.95,26695060.41
105,r.akech,Horrible Storm,17110000,17926581.97,17870654.1,17664437.81,17751345.34,17708213.71,17743620.38,17903208.27,17737960.53,17798272.63,18160246.41
106,l.egger,Horrible Storm,13950000,14562342.27,14488955.17,14558697.05,14422954.17,14615769.64,14570170.94,14402040.18,14472896.99,14437731.23,14466598.73
107,z.cher,Horrible Storm,29810000,30820664.08,31232694.83,31135254.17,30775972.6,30927387.76,30852241.43,30913928.9,31191971.87,30904067.99,31009147.11
108,t.nkhoma,Horrible Storm,26430000,27420693,27354067.12,27408760.17,27655277.3,27400017.34,27493182.09,28052326.87,26430000,26430000,26430000
109,z.chipeta,Mighty Jays,14950000,15434444.49,15510380.64,15472694.04,15503630.9,15643072.1,15498685.56,15551383.74,15867661.24,14950000,14950000
110,d.asaba,Mighty Jays,8490000,8765112.63,8808236.23,8786834.27,8804403.1,8883590.78,8801594.67,8831521.6,9011133.38,8490000,8490000
111,s.kaggwa,Mighty Jays,17980000,18639890.72,18703269.54,19083648.77,17980000,17980000,17980000,17980000,17980000,17980000,17980000
112,e.ta,Mighty Jays,8670000,9083779.41,9055439.57,8950945.4,8994983.29,8973127.58,8991068.89,9071935.46,8988200.92,9018762.34,9202182.14
113,z.semakula,Mighty Jays,25460000,26323183.75,26675089.24,26591867.53,26285013.83,26414333.86,26350153.19,26402838.97,26640308.75,26394417.01,26484162.54
114,q.aini,Mighty Jays,16720000,17365973.5,17449563.77,17286866.94,17517969.06,17463315.99,17261800.13,17346726.71,17304578.22,17339177.83,17495128.13
115,e.ramezani,Mighty Jays,13270000,13849025.79,13719899.78,13903316.35,13859940.38,13700005.25,13767408.1,13733956.52,13761416.86,13885188.42,13757027.25
116,v.ram,Mighty Jays,14380000,14867532.69,15066291.57,15019287.32,14845974.04,14919014.96,14882765.24,14912522.56,15046647.28,14907765.77,14958454.73
117,z.nakagawa,Mighty Jays,1.9e+07,19834014.56,19734060.8,19829049.74,19644166.97,19906783.02,19844677.26,19615681.97,19712189.44,19664293.43,19703611.17
118,a.akoth,Mighty Jays,2e+07,20889133.96,20648086.28,20749673.1,20699256.24,20740643.34,20927186.76,20734027.5,20804526.74,21227640.46,2e+07
119,g.dijkstra,Mighty Jays,26510000,27733016.63,27560128.41,27262102.43,27747833.87,27673669.78,27534207.99,27666742.56,27408782.45,27775200.94,27688547.06
120,g.siddiqui,Mighty Jays,28170000,29125062.3,29514425.14,29422345.18,29082829.53,29225914.56,29154902.41,29213196.14,29475942.55,29203877.73,29303175.91
121,u.nalumansi,Mighty Jays,26610000,27595425.96,27843621.98,27586623.59,27680422.83,28243375.63,26610000,26610000,26610000,26610000,26610000
122,f.heng,Mighty Jays,25220000,26165337.78,26101762.12,26153951.25,26389182.5,26145608.68,26234508.22,26768054.62,25220000,25220000,25220000
123,i.kakuru,Mighty Jays,35710000,37124563.77,36723111.2,37377410.32,37277508.41,37089647.96,37268177.17,36920694.88,37414274.82,37297548.69,36867158.05
124,c.ssentamu,Mighty Jays,26670000,27915304.76,27840693.07,27700389.56,27833724.03,27574207.01,27942837,27855660.14,27534223.05,27669689.08,27602458.2
125,i.nugraha,Mighty Jays,22990000,23642238.21,24063474.19,23999157.61,23878213.57,23993150.19,23769442.04,24087207.45,24012059.49,23734975.18,23851749.23
126,v.kumwenda,Mighty Jays,36670000,37858266.19,38044525.63,37952086.32,38027969.56,38369996.92,38015839.42,38145099.78,38920878.78,36670000,36670000
127,a.vang,Mighty Jays,15070000,15652226.12,15727567.35,15580926.12,15789222.11,15739962.44,15558333.01,15634878.68,15596889.58,15628074.76,15768635.22
128,k.abalo,Mighty Jays,15940000,16648639.77,16456524.77,16537489.46,16497307.22,16530292.74,16678967.85,16525019.92,16581207.81,16918429.45,15940000
129,e.nakanjako,Mighty Jays,10750000,11054983.07,11251950.74,11221876.66,11165323.87,11219067.62,11114462.89,11263048.29,11227909.5,11098346.38,11152949.29
130,y.ferrara,Mighty Jays,28900000,29719907.97,30249430.36,30168580.04,30016545.11,30161028.29,29879811.87,30279264.7,30184798.57,29836484.67,29983277.63
131,v.garcia,Old Mustangs,16030000,16630862.99,16590453.88,16623625.64,16773140.19,16618323.04,16674828.18,17013953.83,16030000,16030000,16030000
132,a.sihombing,Old Mustangs,23440000,24199557.12,24318616.87,24259528.31,24308033.99,24526662.88,24300280.23,24382905.34,24878794.62,23440000,23440000
133,f.nassolo,Old Mustangs,26640000,27695278.04,27395790.6,27883903.97,27809376.2,27669230.51,27802415.01,27543189.91,27911405.24,27824326.43,27503250.92
134,m.tumuramye,Old Mustangs,28620000,29985901.58,29892350.7,29547411.47,29692782.21,29620635.68,29679860.62,29946804.25,29670393.35,29771277.76,30376753.5
135,t.chebet,Old Mustangs,9420000,9783939.62,9831034.14,9739371.21,9869573.48,9838782.1,9725248.64,9773096.03,9749349.69,9768843.01,9856704.96
136,z.rojas,Old Mustangs,28960000,30312231.94,30231213.77,30078863.2,30223646.35,29941846.08,30342128.22,30247465.97,29898428.93,30045526.65,29972523.04
137,y.niemi,Old Mustangs,33480000,34564896.43,34734952.77,34650554.95,34719836.95,35032110.64,34708762.04,34826777.76,35535070.13,33480000,33480000
138,y.wood,Old Mustangs,29870000,30837916.86,30989636.77,30914339.19,30976150.83,31254753.43,30966270.07,31071560.69,31703481.03,29870000,29870000
139,f.njoku,Old Mustangs,28160000,29072505.48,29215539.72,29144552.79,29202825.82,29465478.96,29193510.72,29292773.65,29888517.77,28160000,28160000
140,w.kayange,Old Mustangs,23150000,23934866.6,24254843.52,24179172.56,23900159.87,24017746.61,23959389.1,24007294.67,24223218.67,23999636.83,24081239.7
141,a.logose,Old Mustangs,24420000,25247924.08,25585454.81,25505632.57,25211313.35,25335350.86,25273791.87,25324325.52,25552095.03,25316247.58,25402327.15
142,q.nakityo,Old Mustangs,26040000,26883808.34,27016074.38,26950431.62,27004317.63,27247197.16,26995703.8,27087493.82,27638387.88,26040000,26040000
143,u.nakazibwe,Old Mustangs,29470000,30780138.89,30424955.13,30574643.31,30500354.07,30561337.96,30836209.69,30551589.52,30655470.15,31278928.22,29470000
144,f.walker,Old Mustangs,10160000,10532885.97,10568699.58,10783641.35,10160000,10160000,10160000,10160000,10160000,10160000,10160000
145,v.waswa,Old Mustangs,18870000,19577316.57,19529748.26,19568796.99,19744800.71,19562554.95,19629070.98,20028278.77,18870000,18870000,18870000
146,v.mattila,Old Mustangs,27620000,28556415.36,28938176.16,28847894,28515007.15,28655298.55,28585672.87,28642828.45,28900444.92,28633691.98,28731051.43
147,m.carpentier,Old Mustangs,25960000,27198951.96,27114095.88,26801215.99,26933075.68,26867634.6,26921355.06,27163488.41,26912767.7,27004275.71,27553477.32
148,h.twongirwe,Old Mustangs,16190000,16756047.93,16789550.78,16940557.68,16784195.26,16841264.4,17183774.95,16190000,16190000,16190000,16190000
149,q.johnsen,Old Mustangs,34130000,35481975.96,35098285.78,35723635.23,35628153.52,35448605.01,35619235.14,35287127.31,35758868.65,35647307.1,35235959.24
150,p.saputra,Old Mustangs,23070000,23998021.59,24486083.27,23070000,23070000,23070000,23070000,23070000,23070000,23070000,23070000
151,l.edwards,Old Mustangs,23610000,24736797.21,24659622.64,24375065.85,24494989.09,24435471.99,24484329.46,24704543.97,24476519.46,24559743.82,25059229.56
152,n.kamusiime,Punctual Rustlers,25780000,26926093.67,26615383.21,26746328.63,26681341.29,26734689.27,26975143.73,26726161.45,26817034.97,27362428.55,25780000
153,h.farina,Punctual Rustlers,27230000,28282025.03,28418159.18,28153192.99,28529563.24,28440555.89,28112369.47,28250679.93,28182037.37,28238385.91,28492364.77
154,s.debnath,Punctual Rustlers,12330000,12878151.09,12729545.19,12792173.47,12761091.47,12786606.62,12901610.64,12782527.95,12825990.74,13086840.34,12330000
155,t.kafuko,Punctual Rustlers,21060000,21839897.44,22036327.66,21832930.96,21907166.66,22352705.4,21060000,21060000,21060000,21060000,21060000
156,i.namugosa,Punctual Rustlers,12280000,12696335.29,12866068.18,12825928.25,12677924.98,12740299.28,12709343.33,12734755.01,12849292.67,12730692.88,12773979.42
157,l.lechner,Punctual Rustlers,32310000,33558289.71,33719820.91,33405422.89,33852008.38,33746395.91,33356983.39,33521096.89,33439648.46,33506509.32,33807870.21
158,n.ono,Punctual Rustlers,27840000,28915592.25,29054776.04,28783874.14,29168675.75,29077674.47,28742136.1,28883544.96,28813364.69,28870975.53,29130643.97
159,j.lysenko,Punctual Rustlers,24740000,25441886.62,25895187.1,25825974.74,25695824.43,25819510.03,25578773.21,25920726.94,25839858.71,25541682.73,25667345.62
160,r.arai,Punctual Rustlers,25630000,26590706.08,26526096.87,26579134.44,26818189.83,26570656.24,26661001.02,27203221.25,25630000,25630000,25630000
161,x.neri,Punctual Rustlers,13340000,13976657.13,13933052.35,13772273.55,13840031.96,13806403.91,13834009.11,13958433.57,13829596.34,13876619.34,14158836.19
162,m.nankwanga,Punctual Rustlers,21800000,22751225.49,22539096.84,22840414.2,22769156.02,22506414.05,22617143.68,22562189.3,22607301.24,22810633.57,22600089.98
163,b.kor,Punctual Rustlers,27560000,28523575.1,28580606.52,28837663.36,28571489.9,28668637.85,29251688.55,27560000,27560000,27560000,27560000
164,x.muhwezi,Punctual Rustlers,19300000,20158014.27,19925403.26,20023434.54,19974782.27,20014720.82,20194735.22,20008336.54,20076368.3,20484673.04,19300000
165,d.pellegrino,Punctual Rustlers,1.6e+07,16559404.99,16592514.67,16741749.41,16587222,16643621.39,16982112.37,1.6e+07,1.6e+07,1.6e+07,1.6e+07
166,g.chong,Punctual Rustlers,24370000,25439733.41,25311529.56,25433365.38,25196228.9,25533068.53,25453409.73,25159693.13,25283476.67,25222043.73,25272473.91
167,m.vasquez,Punctual Rustlers,21540000,22497597.27,22237988.92,22347397.93,22293098.97,22337672.88,22538580.14,22330547.62,22406475.3,22862168.78,21540000
168,c.namutebi,Punctual Rustlers,39230000,40682771.91,41048676.83,40669794.94,40808079.2,41638016.76,39230000,39230000,39230000,39230000,39230000
169,t.zoabi,Punctual Rustlers,17930000,18640252.82,18438683.39,18767207.14,18717046.37,18622721.59,18712361.15,18537890.2,18785716.82,18727108.6,18511009.35
170,h.turyatunga,Punctual Rustlers,30270000,31590807.14,31296259.7,31714648.52,31615704.25,31250878.58,31404630.24,31328324.32,31390963.7,31673297.16,31380950.62
171,d.iskandar,Silver Heels,24870000,25802218.5,25739525.13,25790989.99,26022956.74,25782763.2,25870429,26396570.91,24870000,24870000,24870000
172,c.boyko,Silver Heels,9590000,9925293.37,9945138.48,10034586.05,9941966.19,9975770.57,10178653.6,9590000,9590000,9590000,9590000
173,b.masika,Silver Heels,8880000,9190469.77,9208845.64,9291670.92,9205908.21,9237209.87,9425072.36,8880000,8880000,8880000,8880000
174,b.weiss,Silver Heels,11480000,11941798.35,12184665.62,11480000,11480000,11480000,11480000,11480000,11480000,11480000,11480000
175,b.wright,Silver Heels,16180000,16745698.3,16779180.46,16930094.09,16773828.25,16830862.13,17173161.13,16180000,16180000,16180000,16180000
176,k.machava,Silver Heels,15200000,15762888.94,15904661.94,15757860.9,15811440.32,16133006.75,15200000,15200000,15200000,15200000,15200000
