,Player,Squad,Salary0,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,
83,c.muyama,Horrible Grizzlies,26810000,26981084.83,27153261.43,27326536.74,27500917.8,27676411.64,27853025.38,28030766.16,28209641.17,28389657.65,28570822.88
84,g.hernandez,Horrible Grizzlies,11490000,12597337.79,13811394.2,15142454.13,16601793.7,18201775.73,19955954.49,21879190.57,23987776.68,26299575.77,28834172.29
85,i.donati,Horrible Grizzlies,9830000,10712738.36,11674747.01,12723144.47,13865688.49,15110833.46,16467793.01,17946608.13,19558221.49,21314558.46,23228615.26
86,l.mugumya,Horrible Grizzlies,30800000,30870159.45,30940478.72,31010958.17,31081598.17,31152399.08,31223361.26,31294485.09,31365770.93,31437219.16,31508830.14
87,r.ishii,Horrible Grizzlies,22560000,23325096.24,24116139.84,24934010.76,25779618.82,26653904.7,27557840.97,28492433.2,29458721.03,30457779.4,31490719.67
88,u.wright,Horrible Grizzlies,12230000,13354723.21,14582880.8,15923985.01,17388422.92,18987536.81,20733712.07,22640473.09,24722588.03,26996183.18,29478867.88
89,z.agyei,Horrible Grizzlies,26330000,27875709.69,29512160.68,31244679.97,33078907.26,35020813.35,37076719.57,39253318.3,41557694.85,43997350.44,46580226.66
90,q.sarfo,Horrible Grizzlies,27700000,29948868.07,32380314.04,35009160.76,37851434.55,40924462.8,44246979.69,47839240.34,51723144.31,55922369.15,60462514.65
91,k.nalwanga,Horrible Grizzlies,20530000,20896425.38,21269390.83,21649013.08,22035410.93,22428705.33,22829019.36,23236478.3,23651209.7,24073343.33,24503011.34
92,i.koomson,Horrible Grizzlies,30150000,31077692.31,32033928.99,33019588.35,34035575.68,35082824.16,36162295.68,37274981.7,38421904.21,39604116.65,40822704.85
93,l.obote,Horrible Storm,9600000,10425339.37,11321635.51,12294988.79,13352024.03,14499935.59,15746536.39,17100311.01,18570473.5,20167030.04,21900847.11
94,t.ichikawa,Horrible Storm,28970000,29520256.77,30080965.13,30652323.6,31234534.46,31827803.84,32432341.8,33048362.36,33676083.63,34315727.85,34967521.48
95,z.nabaweesi,Horrible Storm,19400000,20454347.83,21565997.16,22738062.23,23973826.48,25276751.83,26650488.34,28098884.45,29625997.73,31236106.31,32933720.78
96,n.gheorghe,Horrible Storm,14950000,15060815.36,15172452.14,15284916.4,15398214.3,15512352.01,15627335.75,15743171.8,15859866.47,15977426.12,16095857.18
97,q.scott,Horrible Storm,17400000,18875311.72,20475712.22,22211807.52,24095102.92,26138079.22,28354275.47,30758378.62,33366320.95,36195385.57,39264321
98,g.mwebaze,Horrible Storm,23230000,23616319.47,24009063.52,24408338.97,24814254.46,25226920.4,25646449.05,26072954.55,26506552.92,26947362.11,27395502.05
99,j.rukundo,Horrible Storm,27710000,30194419.98,32901587.79,35851474.55,39065841.91,42568402.64,46384995.57,50543776.14,55075424.17,60013370.19,65394041.99
100,c.ji,Horrible Storm,22310000,23522500,24800896.74,26148771.56,27569900.45,29068264.61,30648061.6,32313717.12,34069897.4,35921522.25,37873778.9
101,q.nabutono,Horrible Storm,24050000,24728623.34,25426395.53,26143856.88,26881562.98,27640085.06,28420010.5,29221943.25,30046504.28,30894332.11,31766083.25
102,p.bauri,Horrible Storm,23230000,24026398.04,24850099.13,25702039.31,26583186.69,27494542.6,28437142.68,29412058.08,30420396.67,31463304.3,32541966.12
103,h.kamugisha,Horrible Storm,25750000,26322449.38,26907624.92,27505809.51,28117292.38,28742369.14,29381342.02,30034519.93,30702218.66,31384761.04,32082477.04
104,u.garcia,Horrible Storm,17110000,17828995.13,18578203.81,19358895.69,20172393.75,21020076.55,21903380.62,22823802.83,23782902.95,24782306.3,25823706.5
105,a.miura,Horrible Storm,13950000,14081222.87,14213680.1,14347383.31,14482344.23,14618574.67,14756086.59,14894892.04,15035003.18,15176432.29,15319191.79
106,s.avraham,Horrible Storm,29810000,32706518.22,35884479.5,39371230.55,43196775.22,47394032.73,51999120.93,57051667.09,62595148.91,68677268.65,75350363.57
107,e.taylor,Horrible Storm,26430000,27599561.44,28820877.47,30096238.31,31428035.5,32818766.43,34271038.98,35787576.46,37371222.68,39024947.27,40751851.3
108,y.torres,Mighty Jays,14950000,15873757.1,16854592.95,17896034.41,19001826.31,20175944.84,21422611.89,22746310.21,24151799.55,25644133.75,27228678.95
109,a.haruna,Mighty Jays,8490000,9300658.06,10188720.9,11161579.41,12227330.22,13394843.04,14673834.5,16074949.02,17609847.38,19291303.78,21133312.14
110,d.svensson,Mighty Jays,17980000,18010050.14,18040150.5,18070301.17,18100502.23,18130753.77,18161055.86,18191408.6,18221812.07,18252266.35,18282771.53
111,y.eyotaru,Mighty Jays,8670000,9122439.32,9598488.95,10099380.97,10626411.77,11180945.39,11764417.06,12378336.88,13024293.78,13703959.6,14419093.41
112,d.martini,Mighty Jays,25460000,26620599.59,27834105.36,29102929.06,30429592.35,31816731.88,33267104.46,34783592.59,36369210.16,38027108.45,39760582.38
113,s.namugere,Mighty Jays,16720000,17761016.52,18866848.55,20041531.62,21289352.53,22614864.95,24022906.09,25518614.35,27107448.02,28795205.27,30588045.24
114,t.nouri,Mighty Jays,13270000,14517139.32,15881487.13,17374058.87,19006905.3,20793209.67,22747394.26,24885236.75,27223997.67,29782559.69,32581580.14
115,u.ortiz,Mighty Jays,14380000,15283399.85,16243554.31,17264028.9,18348613.13,19501334.57,20726473.85,22028580.48,23412489.83,24883341,26446595.97
116,v.thompson,Mighty Jays,1.90E+07,20258136.92,21599584.82,23029860.36,24554845.5,26180811.71,27914445.7,29762877.01,31733707.25,33835041.4,36075521.13
117,v.binali,Mighty Jays,2.00E+07,20449897.75,20909915.9,21380282.11,21861229.15,22352995.04,22855823.15,23369962.32,23895666.99,24433197.33,24982819.36
118,s.mlakar,Mighty Jays,26510000,26530015.1,26550045.31,26570090.65,26590151.11,26610226.73,26630317.5,26650423.44,26670544.56,26690680.87,26710832.39
119,u.chio,Mighty Jays,28170000,29787871.62,31498661.55,33307706.3,35220648.89,37243456.43,39382438.72,41644267.97,44035999.58,46565094.15,49239440.77
120,m.abur,Mighty Jays,26610000,26650060.22,26690180.75,26730361.67,26770603.09,26810905.09,26851267.76,26891691.2,26932175.49,26972720.73,27013327.01
121,f.pellegrini,Mighty Jays,25220000,26691078.47,28247964.71,29895663.87,31639473.05,33484998.34,35438172.81,37505275.63,39692952.22,42008235.63,44458569.13
122,g.adriko,Mighty Jays,35710000,38088533.45,40625493.72,43331433.11,46217606.82,49296019.7,52579476.21,56081633.68,59817059.1,63801289.74,68050897.75
123,n.nantege,Mighty Jays,26670000,26891829.87,27115504.82,27341040.21,27568451.51,27797754.32,28028964.38,28262097.54,28497169.81,28734197.31,28973196.3
124,z.makore,Mighty Jays,22990000,24200554.03,25474850.6,26816246.12,28228273.73,29714652.62,31279297.79,32926330.41,34660088.65,36485139.1,38406288.83
125,d.kayira,Mighty Jays,36670000,39748415.61,43085261.61,46702233.03,50622846.15,54872591.43,59479099.26,64472319.53,69884716.44,75751479.51,82110752.4
126,x.nakanwagi,Mighty Jays,15070000,15180808.82,15292432.42,15404876.77,15518147.93,15632251.96,15747194.98,15862983.18,15979622.77,16097119.99,16215481.17
127,r.wanyama,Mighty Jays,15940000,17402986.3,19000246.69,20744104.95,22648015.95,24726669.47,26996103.51,29473828.08,32178960.25,35132371.67,38356849.62
128,j.nkrumah,Mighty Jays,10750000,11804136.87,12961641.61,14232650.39,15628293.33,17160791.96,18843566.25,20691352.12,22720330.46,24948268.9,27394677.29
129,m.matsumoto,Mighty Jays,28900000,30661160.06,32529644.85,34511994.72,36615148.58,38846468.21,41213764,43725322.3,46389934.45,49216927.52,52216196.97
130,c.nyesiga,Old Mustangs,16030000,16304625.63,16583956.15,16868072.15,17157055.62,17450989.95,17749959.95,18054051.91,18363353.56,18677954.16,18997944.49
131,y.diallo,Old Mustangs,23440000,23570725.01,23702179.08,23834366.26,23967290.65,24100956.37,24235367.54,24370528.32,24506442.89,24643115.46,24780550.25
132,g.baey,Old Mustangs,26640000,27550062.11,28491213.3,29464515.62,30471067.4,31512004.48,32588501.53,33701773.32,34853076.13,36043709.17,37275016.01
133,i.makavan,Old Mustangs,28620000,28630003.5,28640010.49,28650020.98,28660034.97,28670052.45,28680073.44,28690097.94,28700125.93,28710157.43,28720192.44
134,j.wan,Old Mustangs,9420000,10282317.5,11223572.52,12250991.09,13372460.73,14596590.97,15932779.48,17391284.21,18983302.11,20721055.14,22617884.06
135,o.nampeera,Old Mustangs,28960000,29232540.96,29507646.78,29785341.61,30065649.81,30348595.97,30634204.92,30922501.73,31213511.68,31507260.31,31803773.39
136,b.longoli,Old Mustangs,33480000,36228519.72,39202677.44,42420996.79,45903522.06,49671943.07,53749730.25,58162280.83,62937077,68103857.07,73694800.74
137,f.shkreli,Old Mustangs,29870000,32071060.39,34434312.5,36971707.92,39696078.92,42621203.36,45761874.35,49133975.08,52754559.15,56641936.81,60815767.52
138,a.tay,Old Mustangs,28160000,29511931.52,30928767.83,32413624.94,33969768.45,35600620.75,37309768.53,39100970.67,40978166.5,42945484.51,45007251.35
139,b.stewart,Old Mustangs,23150000,23808196.36,24485106.43,25181262.27,25897211.09,26633515.63,27390754.63,28169523.31,28970433.79,29794115.6,30641216.18
140,h.steiner,Old Mustangs,24420000,26189565.22,28087359.8,30122675.73,32305478.31,34646455,37157067.69,39849608.82,42737261.64,45834164.65,49155480.93
141,k.mirkovi,Old Mustangs,26040000,27756103.15,29585301.93,31535049.62,33613290.71,35828493.25,38189683.35,40706481.97,43389144.1,46248600.59,49296502.63
142,y.aidoo,Old Mustangs,29470000,32213683.23,35212805.82,38491149.39,42074709.66,45991902.59,50273789.66,54954324.23,60070620.74,65663249,71776555.94
143,c.nyaketcho,Old Mustangs,10160000,10969776.83,11844094.86,12788098.17,13807340.85,14907819.66,16096009.33,17378900.61,18764041.47,20259581.44,21874319.6
144,q.mbambu,Old Mustangs,18870000,19092595.17,19317816.14,19545693.86,19776259.69,20009545.32,20245582.85,20484404.74,20726043.83,20970533.36,21217906.94
145,k.muhumuza,Old Mustangs,27620000,29295867.9,31073420.56,32958827.79,34958633.78,37079779.76,39329628.15,41715988.08,44247142.5,46931876.95,49779510.04
146,m.adoch,Old Mustangs,25960000,27894105.96,29972309.22,32205345.5,34604750.38,37182918.87,39953169.45,42929812.87,46128226.08,49564931.66,53257683.19
147,h.nsamba,Old Mustangs,16190000,16443920.95,16701824.36,16963772.67,17229829.33,17500058.77,17774526.44,18053298.82,18336443.4,18624028.78,18916124.58
148,r.dijkstra,Old Mustangs,34130000,34803014.64,35489300.56,36189119.45,36902738.18,37630428.86,38372468.99,39129141.52,39900734.99,40687543.63,41489867.46
149,e.estrada,Old Mustangs,23070000,24071682.5,25116857.31,26207412.85,27345319.52,28532633.26,29771499.29,31064155.97,32412938.86,33820284.92,35288736.91
150,e.amponsah,Old Mustangs,23610000,24342013.1,25096721.8,25874829.77,26677062.49,27504167.92,28356917.23,29236105.49,30142552.43,31077103.18,32040629.09
151,k.namuwaya,Punctual Rustlers,25780000,26321124.75,26873607.77,27437687.45,28013607.23,28601615.62,29201966.36,29814918.53,30440736.62,31079690.7,31732056.48
152,c.quartey,Punctual Rustlers,27230000,29706446.31,32408114.31,35355486.88,38570909.77,42078760.94,45905635.43,50080546.99,54635148.01,59603969.57,65024683.15
153,j.turyasingura,Punctual Rustlers,12330000,12993923.08,13693595.86,14430943.33,15207994.12,16026886.11,16889872.29,17799326.95,18757752.25,19767785.06,20832204.26
154,k.lin,Punctual Rustlers,21060000,22032965.72,23050882.17,24115826.06,25229970.03,26395587.13,27615055.39,28890862.71,30225611.96,31622026.22,33082954.41
155,s.herrera,Punctual Rustlers,12280000,13158673.65,14100219.23,15109135.44,16190242.86,17348707.01,18590063.01,19920242.04,21345599.67,22872946.25,24509579.4
156,m.alzahrani,Punctual Rustlers,32310000,32360077.5,32410232.61,32460465.45,32510776.16,32561164.84,32611631.61,32662176.61,32712799.95,32763501.74,32814282.12
157,r.akech,Punctual Rustlers,27840000,29867653.18,32042985.14,34376751.69,36880491.99,39566585.63,42448313.83,45539925.12,48856705.8,52415055.47,56232568.18
158,l.egger,Punctual Rustlers,24740000,26507908.19,28402150.22,30431753.85,32606391.95,34936428.62,37432968.57,40107910.02,42974001.47,46044902.39,49335248.38
159,z.cher,Punctual Rustlers,25630000,27682128.11,29898564.83,32292465.93,34878040.53,37670635.43,40686826.22,43944515.63,47463039.85,51263283.25,55367802.34
160,p.shehu,Punctual Rustlers,13340000,14101077.65,14905576.54,15755973.93,16654888.45,17605088.11,18609498.84,19671213.51,20793501.45,21979818.49,23233817.64
161,t.nkhoma,Punctual Rustlers,21800000,22903132.53,24062086.22,25279685.77,26558898.78,27902843.06,29314794.15,30798193.38,32356656.17,33993980.94,35714158.29
162,h.shoko,Punctual Rustlers,27560000,29451477.32,31472769.09,33632784.65,35941044.78,38407723.7,41043693.88,43860574,46870780.12,50087580.46,53525153.84
163,c.awad,Punctual Rustlers,19300000,19646097.05,19998400.47,20357021.58,20722073.65,21093672.02,21471934.07,21856979.3,22248929.36,22647908.05,23054041.42
164,z.chipeta,Punctual Rustlers,1.60E+07,16030056.36,16060169.17,16090338.56,16120564.62,16150847.46,16181187.18,16211583.9,16242037.72,16272548.75,16303117.1
165,d.asaba,Punctual Rustlers,24370000,26430658.66,28665560.81,31089440.01,33718275.61,36569398.16,39661603.61,43015277.26,46652528.12,50597334.68,54875702.99
166,d.wolf,Punctual Rustlers,21540000,22721429.97,23967659.23,25282241.92,26668927.07,28131669.4,29674640.49,31302240.76,33019111.94,34830150.41,36740521.05
167,s.kaggwa,Punctual Rustlers,39230000,43060797.43,47265671.04,51881149.27,56947327.53,62508216.54,68612124.64,75312077.5,82666278.68,90738615.35,99599213.22
168,c.nakitto,Punctual Rustlers,17930000,18050808.53,18172431.05,18294873.03,18418140.01,18542237.52,18667171.19,18792946.62,18919569.51,19047045.55,19175380.5
