,Player,Nation,Age,sal0,sal1,sal2,sal3,sal4,sal5,sal6,sal7,sal8,sal9
63,a.nabuuma,Dosqaly,22,25080000,26180000,26050000,26170000,25930000,26280000,26190000,25890000,26020000,25960000
64,a.nakagawa,Manlisgamncent,25,20000000,20680000,20950000,20890000,20650000,20750000,20700000,20740000,20930000,20730000
65,a.nakiranda,Dosqaly,19,10370000,10780000,10660000,10850000,10830000,10770000,10820000,10720000,10860000,10830000
66,a.namataka,Dosqaly,20,4990000,5130000,5220000,5210000,5180000,5210000,5160000,5230000,5210000,5150000
67,a.namubiru,Dosqaly,21,30140000,31550000,31460000,31300000,31460000,31160000,31580000,31480000,31120000,31270000
68,a.nanjala,Rarita,21,8320000,8720000,8690000,8640000,8680000,8600000,8720000,8690000,8590000,8630000
69,a.nantege,Lefghau,25,31660000,32730000,33170000,33070000,32690000,32850000,32770000,32830000,33130000,32820000
70,a.nasiru,Janmico,25,19700000,20460000,20640000,20580000,20340000,20440000,20390000,20430000,20610000,20420000
71,a.nassanga,People's Land of Maneau,28,22780000,23520000,23630000,23580000,23620000,23840000,23620000,23700000,24180000,22780000
72,a.negri,Nganion,22,25210000,26410000,26180000,26310000,26060000,26410000,26330000,26030000,26150000,26090000
73,a.nekesa,Sobianitedrucy,22,17480000,18250000,18160000,18240000,18070000,18310000,18260000,18050000,18140000,18090000
74,a.nilsen,Nganion,33,14680000,15370000,15270000,15580000,14680000,14680000,14680000,14680000,14680000,14680000
75,a.nunez,Rarita,20,22730000,23370000,23790000,23730000,23610000,23720000,23500000,23810000,23740000,23470000
76,a.nwachukwu,Dosqaly,24,17850000,18630000,18460000,18700000,18640000,18430000,18520000,18470000,18510000,18680000
77,a.nyasulu,Rosvi,29,23500000,24380000,24320000,24370000,24590000,24360000,24450000,24940000,23500000,23500000
78,a.oconnor,Nganion,18,19710000,20570000,20490000,20270000,20630000,20580000,20470000,20570000,20380000,20650000
79,a.odaga,Byasier Pujan,30,19460000,20140000,20180000,20360000,20170000,20240000,20650000,19460000,19460000,19460000
80,a.olobo,Biarizea,27,30470000,31820000,31460000,31610000,31540000,31600000,31880000,31590000,31700000,32340000
81,a.omar,Rarita,33,7320000,7530000,7610000,7770000,7320000,7320000,7320000,7320000,7320000,7320000
82,a.omara,Esia,30,30190000,31250000,31310000,31590000,31300000,31400000,32040000,30190000,30190000,30190000
83,a.ortega,Zamlie Niabangthe,22,26640000,27810000,27670000,27800000,27540000,27910000,27820000,27500000,27640000,27570000
84,a.palmieri,Landsfupua,34,34010000,35380000,36100000,34010000,34010000,34010000,34010000,34010000,34010000,34010000
85,a.patal,Sobianitedrucy,29,24510000,25650000,25370000,25420000,25650000,25410000,25500000,26010000,24510000,24510000
86,a.pena,Nganion,30,19020000,19680000,19720000,19900000,19720000,19790000,20190000,19020000,19020000,19020000
87,a.popescu,People's Land of Maneau,24,32520000,33940000,33620000,34070000,33970000,33570000,33740000,33660000,33720000,34030000
88,a.popovi,Esia,25,16100000,16650000,16870000,16820000,16620000,16700000,16660000,16700000,16850000,16690000
89,a.radu,Janmico,34,23940000,24900000,25410000,23940000,23940000,23940000,23940000,23940000,23940000,23940000
90,a.richard,Nganion,34,26280000,27030000,27890000,26280000,26280000,26280000,26280000,26280000,26280000,26280000
91,a.ross,Esia,20,18520000,19050000,19380000,19330000,19240000,19330000,19150000,19400000,19340000,19120000
92,a.salazar,Rarita,23,22880000,23760000,23880000,23660000,23970000,23900000,23620000,23740000,23680000,23730000
93,a.schmidt,Dosqaly,27,34970000,36520000,36100000,36280000,36190000,36270000,36590000,36250000,36380000,37120000
94,a.schmitt,People's Land of Maneau,34,26370000,27430000,27990000,26370000,26370000,26370000,26370000,26370000,26370000,26370000
95,a.schumacher,Sobianitedrucy,17,18200000,18870000,19040000,18920000,18720000,19050000,19000000,18900000,18990000,18820000
96,a.serrano,Pierrema,27,21980000,22960000,22690000,22800000,22750000,22790000,23000000,22790000,22860000,23330000
97,a.sihombing,Central Namemo Laand,28,23440000,24200000,24320000,24260000,24310000,24530000,24300000,24380000,24880000,23440000
98,a.soltani,Southern Ristan,21,21670000,22680000,22620000,22510000,22620000,22400000,22700000,22630000,22370000,22480000
99,a.soong,People's Land of Maneau,22,25510000,26630000,26500000,26620000,26370000,26730000,26640000,26340000,26470000,26400000
100,a.suboti,Dosqaly,31,12380000,12840000,12950000,12830000,12880000,13140000,12380000,12380000,12380000,12380000
101,a.tay,Frenchdo Stanser,32,28970000,30310000,30030000,30140000,30750000,28970000,28970000,28970000,28970000,28970000
102,a.tayebwa,Dosqaly,21,10690000,11190000,11160000,11100000,11160000,11050000,11200000,11170000,11040000,11090000
103,a.tindimwebwa,Rarita,20,2170000,2250000,2270000,2270000,2250000,2260000,2240000,2270000,2270000,2240000
104,a.tio,Nganion,33,11490000,11990000,11950000,12200000,11490000,11490000,11490000,11490000,11490000,11490000
105,a.tumuhaise,People's Land of Maneau,22,14430000,15060000,14990000,15060000,14920000,15120000,15070000,14900000,14970000,14930000
106,a.tushabomwe,New Somoe,24,37230000,38850000,38490000,39010000,38890000,38440000,38630000,38530000,38610000,38960000
107,a.tusingwire,Dosqaly,21,24400000,25540000,25470000,25340000,25460000,25230000,25560000,25480000,25190000,25310000
108,a.uy,People's Land of Maneau,22,21490000,22430000,22320000,22430000,22220000,22520000,22450000,22190000,22300000,22240000
109,a.vang,Nganion,23,15070000,15650000,15730000,15580000,15790000,15740000,15560000,15630000,15600000,15630000
110,a.whang,Rosvi,23,21140000,22150000,22060000,21860000,22150000,22080000,21830000,21930000,21880000,21920000
111,a.white,Sobianitedrucy,27,17970000,18770000,18550000,18640000,18600000,18640000,18800000,18630000,18690000,19070000
112,a.yosef,Greri Landmoslands,20,29900000,31000000,31300000,31210000,31060000,31200000,30910000,31330000,31230000,30870000
113,a.yusuf,Esia,31,34380000,35650000,35970000,35640000,35760000,36490000,34380000,34380000,34380000,34380000
114,a.zulu,Sobianitedrucy,22,26790000,27970000,27830000,27960000,27700000,28070000,27980000,27660000,27790000,27730000
115,b.abalo,Lefghau,21,10390000,10880000,10850000,10790000,10840000,10740000,10890000,10850000,10730000,10780000
116,b.abubakar,Imaar Vircoand,25,33840000,35340000,35460000,35340000,34940000,35110000,35020000,35090000,35410000,35080000
117,b.adongo,Rarita,17,2310000,2400000,2420000,2400000,2380000,2420000,2410000,2400000,2410000,2390000
118,b.akullu,Lefghau,22,23390000,24420000,24290000,24410000,24180000,24510000,24430000,24150000,24270000,24210000
119,b.alali,Esia,29,32560000,33780000,33700000,33770000,34070000,33750000,33870000,34560000,32560000,32560000
120,b.alhassan,Unicorporated Tiagascar,32,8140000,8450000,8440000,8470000,8640000,8140000,8140000,8140000,8140000,8140000
121,b.ampofo,Rarita,32,3840000,4010000,3980000,3990000,4080000,3840000,3840000,3840000,3840000,3840000
122,b.angella,Lylimi,21,20470000,21430000,21370000,21260000,21360000,21160000,21450000,21380000,21130000,21240000
123,b.apio,Pierrema,27,33340000,34820000,34420000,34590000,34510000,34570000,34890000,34560000,34680000,35390000
124,b.asamoah,Dosqaly,21,32860000,34390000,34300000,34130000,34290000,33970000,34430000,34320000,33920000,34090000
125,b.asiedu,Isle of Lababwe,31,35950000,37270000,37620000,37270000,37400000,38160000,35950000,35950000,35950000,35950000
126,b.awio,Sobianitedrucy,18,550000,570000,570000,570000,580000,570000,570000,570000,570000,580000
127,b.ayuba,Rarita,20,21950000,22910000,22970000,22910000,22800000,22910000,22690000,23000000,22930000,22660000
128,b.ban,Dosqaly,20,12180000,12530000,12750000,12710000,12650000,12710000,12590000,12760000,12720000,12570000
129,b.bernardi,Sobianitedrucy,19,7410000,7800000,7620000,7760000,7740000,7700000,7730000,7660000,7760000,7740000
130,b.binabdrahman,Sobianitedrucy,21,29220000,30350000,30500000,30350000,30490000,30210000,30610000,30520000,30170000,30320000
131,b.binawang,Czechnor,26,27310000,28610000,28520000,28190000,28330000,28260000,28320000,28580000,28310000,28410000
132,b.binder,Nganion,30,21030000,21950000,21810000,22000000,21800000,21880000,22320000,21030000,21030000,21030000
133,b.bintiothman,Imaar Vircoand,22,27630000,28600000,28700000,28840000,28570000,28950000,28860000,28530000,28670000,28600000
134,b.bos,Nathuacamana,24,17750000,18520000,18350000,18600000,18540000,18330000,18420000,18370000,18410000,18570000
135,b.brandt,Nganion,27,23680000,24810000,24450000,24570000,24510000,24560000,24780000,24550000,24630000,25130000
136,b.bwambale,Nganion,20,19390000,20070000,20300000,20240000,20140000,20240000,20050000,20320000,20250000,20020000
137,b.colin,Loco Phirema,26,4890000,5120000,5110000,5050000,5070000,5060000,5070000,5120000,5070000,5090000
138,b.derosa,People's Land of Maneau,23,27370000,28430000,28560000,28300000,28680000,28590000,28260000,28400000,28330000,28380000
139,b.fernandez,Esia,33,14830000,15370000,15430000,15740000,14830000,14830000,14830000,14830000,14830000,14830000
140,b.ghorbani,Ngogalar,26,32930000,34500000,34390000,34000000,34160000,34080000,34150000,34460000,34140000,34250000
141,b.gondo,Lefghau,33,17950000,18750000,18670000,19050000,17950000,17950000,17950000,17950000,17950000,17950000
142,b.grabowski,Dosqaly,35,16950000,17990000,16950000,16950000,16950000,16950000,16950000,16950000,16950000,16950000
143,b.guillot,Central Diasongo,26,20290000,21260000,21190000,20950000,21050000,21000000,21040000,21230000,21030000,21110000
144,b.hadzi,Esia,25,22530000,23290000,23610000,23530000,23260000,23370000,23320000,23360000,23570000,23360000
145,b.ionescu,Esia,18,5860000,6130000,6090000,6030000,6130000,6120000,6090000,6120000,6060000,6140000
146,b.jalali,Rosvi,25,37200000,38460000,38980000,38850000,38410000,38590000,38500000,38580000,38920000,38570000
147,b.jonsson,Imaar Vircoand,29,13500000,14010000,13970000,14000000,14130000,14000000,14040000,14330000,13500000,13500000
148,b.kalyango,Lefghau,18,39550000,41370000,41120000,40670000,41400000,41290000,41080000,41280000,40890000,41440000
149,b.kansiime,Nganion,25,24120000,25050000,25270000,25190000,24900000,25020000,24960000,25010000,25240000,25010000
150,b.kaonga,Central Namemo Laand,22,12030000,12480000,12490000,12550000,12440000,12600000,12560000,12420000,12480000,12450000
151,b.katooko,Rarita,20,5660000,5870000,5920000,5910000,5880000,5910000,5850000,5930000,5910000,5840000
152,b.kayondo,Lefghau,24,22820000,23820000,23590000,23910000,23830000,23560000,23680000,23620000,23670000,23880000
153,b.khatib,Rarita,30,4570000,4720000,4740000,4780000,4740000,4750000,4850000,4570000,4570000,4570000
154,b.klc,Sobianitedrucy,19,18600000,19340000,19130000,19470000,19420000,19320000,19410000,19230000,19490000,19430000
155,b.kor,Cuandbo,30,27560000,28520000,28580000,28840000,28570000,28670000,29250000,27560000,27560000,27560000
156,b.koskinen,Esia,25,16470000,17030000,17260000,17200000,17000000,17090000,17050000,17080000,17230000,17070000
157,b.kovaik,Sobianitedrucy,27,27410000,28470000,28300000,28440000,28370000,28430000,28680000,28420000,28510000,29090000
158,b.kwek,Greri Landmoslands,23,19350000,19980000,20190000,20010000,20270000,20210000,19980000,20080000,20030000,20070000
159,b.lai,Rarita,31,15490000,16060000,16210000,16060000,16110000,16440000,15490000,15490000,15490000,15490000
160,b.lehtonen,Nganion,21,29530000,30490000,30830000,30670000,30820000,30530000,30940000,30840000,30490000,30640000
161,b.liang,Byasier Pujan,36,37570000,37570000,37570000,37570000,37570000,37570000,37570000,37570000,37570000,37570000
162,b.lindberg,Rosvi,22,20770000,21690000,21570000,21680000,21470000,21760000,21690000,21440000,21550000,21500000
163,b.longoli,Djipines,31,9600000,9960000,10050000,9950000,9990000,10190000,9600000,9600000,9600000,9600000
164,b.madondo,Rarita,25,1940000,2030000,2030000,2030000,2000000,2010000,2010000,2010000,2030000,2010000
165,b.maruyama,Sobianitedrucy,27,23910000,24680000,24680000,24810000,24750000,24800000,25020000,24790000,24870000,25380000
166,b.masika,People's Land of Maneau,30,8880000,9190000,9210000,9290000,9210000,9240000,9430000,8880000,8880000,8880000
167,b.maturu,People's Land of Maneau,28,22370000,23090000,23210000,23150000,23200000,23410000,23190000,23270000,23740000,22370000
168,b.mayer,Rosvi,31,27460000,28240000,28730000,28470000,28560000,29150000,27460000,27460000,27460000,27460000
169,b.mhamid,Rarita,23,7350000,7630000,7670000,7600000,7700000,7680000,7590000,7630000,7610000,7620000
170,b.miyasaki,Dosqaly,19,9710000,10090000,9990000,10160000,10140000,10090000,10130000,10040000,10170000,10140000
171,b.mpofu,Byasier Pujan,19,30200000,31400000,31060000,31610000,31530000,31370000,31520000,31220000,31640000,31540000
172,b.mtonga,Nganion,28,34100000,34100000,35380000,35290000,35360000,35680000,35350000,35470000,36190000,34100000
173,b.munemo,Giumle Lizeibon,26,31350000,32850000,32740000,32370000,32530000,32450000,32510000,32800000,32500000,32610000
174,b.murray,Danan Seekeeling,24,19160000,20000000,19810000,20070000,20010000,19780000,19880000,19830000,19870000,20050000
175,b.mutasa,Rarita,19,2060000,2160000,2120000,2160000,2150000,2140000,2150000,2130000,2160000,2150000
176,b.nakabugo,Sina Daofra,32,21130000,22110000,21910000,21980000,22430000,21130000,21130000,21130000,21130000,21130000
177,b.nakandi,Rarita,28,9560000,9980000,9920000,9890000,9910000,10000000,9910000,9940000,10150000,9560000
178,b.nakandi,Sobianitedrucy,28,9560000,9980000,9920000,9890000,9910000,10000000,9910000,9940000,10150000,9560000
179,b.nakiyemba,Esia,24,29580000,30870000,30580000,30990000,30900000,30540000,30690000,30610000,30680000,30950000
180,b.nalugwa,Dosqaly,19,21760000,22620000,22380000,22780000,22720000,22600000,22710000,22500000,22800000,22730000
181,b.nalwanga,Dosqaly,32,29480000,30850000,30560000,30670000,31290000,29480000,29480000,29480000,29480000,29480000
182,b.nambuya,Dosqaly,19,22840000,23740000,23490000,23910000,23840000,23720000,23840000,23610000,23930000,23860000
183,b.nandudu,Dosqaly,19,10250000,10660000,10540000,10730000,10700000,10650000,10700000,10600000,10740000,10710000
184,b.nanyunja,Esia,19,8050000,8370000,8280000,8430000,8400000,8360000,8400000,8320000,8430000,8410000
185,b.nassozi,Dosqaly,35,12940000,13730000,12940000,12940000,12940000,12940000,12940000,12940000,12940000,12940000
186,b.ndlovu,Dosqaly,21,30380000,31800000,31710000,31550000,31710000,31410000,31830000,31730000,31360000,31520000
187,b.nemeth,Lefghau,24,30660000,32090000,31700000,32120000,32020000,31650000,31810000,31730000,31800000,32080000
188,b.nura,Boland Laynga,27,27320000,28600000,28210000,28340000,28280000,28330000,28590000,28320000,28420000,29000000
189,b.obonyo,Imaar Vircoand,32,32320000,33820000,33510000,33620000,34300000,32320000,32320000,32320000,32320000,32320000
190,b.ochieng,Dosqaly,36,24940000,24940000,24940000,24940000,24940000,24940000,24940000,24940000,24940000,24940000
191,b.okyere,Dosqaly,21,12320000,12900000,12860000,12800000,12860000,12740000,12910000,12870000,12720000,12780000
192,b.pandit,Dosqaly,20,2580000,2650000,2700000,2690000,2680000,2690000,2670000,2700000,2690000,2660000
193,b.polak,Dosqaly,22,17970000,18760000,18660000,18750000,18580000,18830000,18770000,18550000,18640000,18600000
194,b.putra,Rosvi,25,26520000,27420000,27790000,27700000,27380000,27510000,27450000,27500000,27750000,27490000
195,b.quaye,Rarita,22,21690000,22640000,22530000,22640000,22430000,22730000,22650000,22390000,22500000,22450000
196,b.quaye,Sobianitedrucy,22,21690000,22640000,22530000,22640000,22430000,22730000,22650000,22390000,22500000,22450000
197,b.reyes,Esian Republic,27,20240000,21120000,20900000,21000000,20950000,20990000,21180000,20980000,21050000,21480000
198,b.roche,Dosqaly,26,32890000,34460000,34350000,33960000,34120000,34040000,34110000,34410000,34100000,34210000
199,b.rohman,People's Land of Maneau,22,7510000,7840000,7800000,7840000,7760000,7870000,7840000,7750000,7790000,7770000
200,b.rubio,Dosqaly,20,22760000,23410000,23820000,23760000,23640000,23750000,23530000,23850000,23770000,23500000
201,b.sabano,Esia,18,17870000,18690000,18580000,18380000,18700000,18650000,18560000,18650000,18480000,18720000
202,b.savolainen,Lefghau,26,22460000,23530000,23460000,23190000,23300000,23250000,23290000,23500000,23280000,23360000
203,b.simango,Dosqaly,22,4720000,4930000,4900000,4930000,4880000,4950000,4930000,4870000,4900000,4890000
204,b.stewart,People's Land of Maneau,24,19400000,20250000,20060000,20330000,20260000,20030000,20130000,20080000,20120000,20300000
205,b.supriatna,Quewenia,18,10470000,10950000,10880000,10770000,10960000,10930000,10870000,10930000,10820000,10970000
206,b.taheri,Imaar Vircoand,20,22590000,23640000,23640000,23580000,23460000,23580000,23360000,23670000,23590000,23320000
207,b.teh,Sobianitedrucy,28,29140000,30080000,30230000,30160000,30220000,30490000,30210000,30310000,30930000,29140000
208,b.tong,Nganion,23,16190000,16950000,16900000,16740000,16960000,16910000,16710000,16800000,16760000,16790000
209,b.turinawe,Lefghau,30,15230000,15940000,15790000,15940000,15790000,15840000,16160000,15230000,15230000,15230000
210,b.umaru,Esia,22,35550000,37110000,36920000,37100000,36760000,37250000,37130000,36700000,36880000,36790000
211,b.vandermeer,Esia,25,13330000,13970000,13970000,13920000,13760000,13830000,13800000,13820000,13950000,13820000
212,b.waon,Badad,24,24550000,25620000,25380000,25720000,25640000,25350000,25470000,25410000,25460000,25690000
213,b.weiss,People's Land of Maneau,34,11480000,11940000,12180000,11480000,11480000,11480000,11480000,11480000,11480000,11480000
214,b.wright,People's Land of Maneau,30,16180000,16750000,16780000,16930000,16770000,16830000,17170000,16180000,16180000,16180000
215,b.ylmaz,Central Namemo Laand,22,16210000,16970000,16840000,16920000,16760000,16980000,16930000,16740000,16820000,16780000
216,b.zee,Nathuacamana,25,21690000,22430000,22730000,22650000,22390000,22500000,22450000,22490000,22700000,22490000
217,b.zheng,Imaar Vircoand,27,37660000,39330000,38880000,39070000,38980000,39050000,39410000,39040000,39170000,39970000
218,c.abaho,Pierrema,28,38250000,39490000,39680000,39590000,39670000,40020000,39650000,39790000,40600000,38250000
219,c.abbo,Esia,19,16850000,17520000,17330000,17640000,17590000,17500000,17590000,17420000,17650000,17600000
220,c.abramov,Western Niasland,29,30570000,31720000,31640000,31700000,31990000,31690000,31800000,32450000,30570000,30570000
221,c.adong,Byasier Pujan,29,8970000,9280000,9280000,9300000,9390000,9300000,9330000,9520000,8970000,8970000
222,c.akullo,Nancipenuaroe,17,7590000,7890000,7940000,7890000,7810000,7940000,7920000,7880000,7920000,7850000
223,c.alum,Rosvi,28,36380000,37740000,37740000,37650000,37730000,38070000,37720000,37840000,38610000,36380000
224,c.amoding,Iverde,20,15490000,15930000,16210000,16170000,16090000,16170000,16020000,16230000,16180000,15990000
225,c.arineitwe,Nganion,27,26890000,27870000,27760000,27900000,27830000,27890000,28140000,27880000,27970000,28540000
226,c.asadi,Lylimi,23,27240000,28290000,28430000,28160000,28540000,28450000,28120000,28260000,28190000,28250000
227,c.asiku,Dosqaly,19,22900000,23810000,23550000,23970000,23910000,23780000,23900000,23680000,23990000,23920000
228,c.attias,Nganion,27,21850000,22860000,22560000,22670000,22610000,22660000,22860000,22650000,22730000,23190000
229,c.baba,People's Land of Maneau,34,4390000,4540000,4660000,4390000,4390000,4390000,4390000,4390000,4390000,4390000
230,c.bai,Western Niasland,24,14830000,15480000,15330000,15540000,15490000,15310000,15390000,15350000,15380000,15520000
231,c.baluka,Rarita,20,7760000,8020000,8120000,8100000,8060000,8100000,8020000,8130000,8100000,8010000
232,c.benhamou,Nganion,25,24210000,25370000,25370000,25290000,24990000,25120000,25060000,25110000,25330000,25100000
233,c.boyko,Dosqaly,30,9590000,9930000,9950000,10030000,9940000,9980000,10180000,9590000,9590000,9590000
234,c.brzis,Dosqaly,26,26410000,27670000,27580000,27270000,27400000,27330000,27390000,27630000,27380000,27470000
235,c.byrne,Ingre,22,15980000,16680000,16600000,16680000,16520000,16740000,16690000,16500000,16580000,16540000
236,c.chand,Janmico,28,27820000,28840000,28860000,28790000,28850000,29110000,28840000,28940000,29530000,27820000
237,c.danquah,Byasier Pujan,24,15800000,16490000,16340000,16550000,16500000,16310000,16390000,16350000,16390000,16530000
238,c.denis,Esia,30,24410000,25260000,25310000,25540000,25310000,25390000,25910000,24410000,24410000,24410000
239,c.devries,Nganion,30,22710000,23500000,23550000,23760000,23540000,23620000,24100000,22710000,22710000,22710000
240,c.dominguez,Southern Viout Aman,19,26470000,27520000,27220000,27710000,27630000,27490000,27620000,27370000,27730000,27650000
241,c.emmanuel,Nganion,22,5490000,5710000,5700000,5730000,5680000,5750000,5730000,5670000,5700000,5680000
